score_col,threshold,min_points,max_gap_minutes,min_precision,max_false_alarm,min_point_f1_delta,mean_point_f1_delta,min_event_f1_delta,mean_event_f1_delta,min_weak_recall_delta,mean_weak_recall_delta,passes_discovery
weak7_min,0.15,6,180,0.7866666666666666,0.018497505833993448,-0.0005193088471343588,0.013526711186506613,-0.02030812324929976,-0.017025097565453284,0.0,0.16666666666666669,False
weak7_min,0.2,2,90,0.4925373134328358,0.041105568519985446,-0.016864398470438302,-0.015191328448702301,-0.19195275009228502,-0.191753147293503,0.0,0.16666666666666669,False
weak7_min,0.2,2,180,0.5,0.04213320773298508,-0.018146246025923296,-0.011330475740656681,-0.19840116279069775,-0.1977361981737058,0.0,0.16666666666666669,False
weak7_min,0.2,3,90,0.7021276595744681,0.02363570189899163,-0.004074577108284988,0.002395335559332676,-0.07007393121182903,-0.06652921366793008,0.0,0.16666666666666669,False
weak7_min,0.2,3,180,0.7083333333333334,0.02363570189899163,0.0009081114360474096,0.004886679831498875,-0.07007393121182903,-0.06652921366793008,0.0,0.16666666666666669,False
weak7_min,0.2,4,90,0.75,0.02158042347299236,-0.0015492472849050198,0.005961183050587127,-0.05117979395147887,-0.03246093291654284,0.0,0.16666666666666669,False
weak7_min,0.2,4,180,0.75,0.02158042347299236,-0.0015492472849050198,0.005961183050587127,-0.05117979395147887,-0.03246093291654284,0.0,0.16666666666666669,False
weak7_min,0.2,6,90,0.7986111111111112,0.016442227407994177,-0.0005193088471343588,0.010433764163137682,-0.01374207188160681,-0.005781711322067007,0.0,0.16666666666666669,False
weak7_min,0.2,6,180,0.7986111111111112,0.016442227407994177,-0.0005193088471343588,0.010433764163137682,-0.01374207188160681,-0.005781711322067007,0.0,0.16666666666666669,False
weak7_min,0.25,2,90,0.6470588235294118,0.029801537176989447,-0.006045432340009788,-0.003848991732905163,-0.11998829382499276,-0.11703670943992073,0.0,0.16666666666666669,False
weak7_min,0.25,2,180,0.6481481481481481,0.029801537176989447,-0.0016525511258005388,0.000816717865126021,-0.1231696813092163,-0.12157898756710453,0.0,0.16666666666666669,False
weak7_min,0.25,3,90,0.7548387096774194,0.020552784259992723,-0.0010357165275249602,0.006958426638965412,-0.041244083840432655,-0.034058734426676285,0.0,0.16666666666666669,False
weak7_min,0.25,3,180,0.7548387096774194,0.020552784259992723,0.004021783355763503,0.009487176580609644,-0.041244083840432655,-0.034058734426676285,0.0,0.16666666666666669,False
weak7_min,0.25,4,90,0.7837837837837838,0.017469866620993812,0.0,0.010201854882705919,-0.009269162210338688,-0.004634581105169344,0.0,0.16666666666666669,False
weak7_min,0.25,4,180,0.7837837837837838,0.017469866620993812,0.0,0.010201854882705919,-0.009269162210338688,-0.004634581105169344,0.0,0.16666666666666669,False
weak7_min,0.25,6,90,0.8028169014084507,0.016442227407994177,0.0,0.009640957446808485,0.0,0.001089324618736398,0.0,0.16666666666666669,True
weak7_min,0.25,6,180,0.8028169014084507,0.016442227407994177,0.0,0.009640957446808485,0.0,0.001089324618736398,0.0,0.16666666666666669,True
weak7_min,0.3,2,90,0.7333333333333333,0.022608062685991994,-0.0030728164380160183,0.00743208087337012,-0.07403891789273853,-0.06741161580911437,0.0,0.16666666666666669,False
weak7_min,0.3,2,180,0.717391304347826,0.022608062685991994,-0.0035750766087844776,0.00718095078798589,-0.08465116279069773,-0.07271773825809397,0.0,0.16666666666666669,False
weak7_min,0.3,3,90,0.8,0.017469866620993812,0.0,0.012507559513991962,-0.009269162210338688,-0.004634581105169344,0.0,0.16666666666666669,False
weak7_min,0.3,3,180,0.8,0.017469866620993812,0.0,0.012507559513991962,-0.009269162210338688,-0.004634581105169344,0.0,0.16666666666666669,False
weak7_min,0.3,4,90,0.8156028368794326,0.015414588194994541,0.0,0.013027054052552611,0.0,0.007029226785053688,0.0,0.16666666666666669,True
weak7_min,0.3,4,180,0.8156028368794326,0.015414588194994541,0.0,0.013027054052552611,0.0,0.007029226785053688,0.0,0.16666666666666669,True
weak7_min,0.3,6,90,0.8129496402877698,0.015414588194994541,0.0,0.009353883955994846,0.0,0.007029226785053688,0.0,0.16666666666666669,True
weak7_min,0.3,6,180,0.8129496402877698,0.015414588194994541,0.0,0.009353883955994846,0.0,0.007029226785053688,0.0,0.16666666666666669,True
weak7_min,0.35,2,90,0.75,0.020552784259992723,-0.0025677736624233616,0.003471734698284143,-0.06298449612403112,-0.05211428998223189,0.0,0.16666666666666669,False
weak7_min,0.35,2,180,0.7333333333333333,0.020552784259992723,-0.0030728164380160183,0.0032192133104878146,-0.07403891789273853,-0.05764150086658559,0.0,0.16666666666666669,False
weak7_min,0.35,3,90,0.8043478260869565,0.015414588194994541,0.0,0.004871220604703241,0.0,0.007029226785053688,0.0,0.16666666666666669,True
weak7_min,0.35,3,180,0.8043478260869565,0.015414588194994541,0.0,0.004871220604703241,0.0,0.007029226785053688,0.0,0.16666666666666669,True
weak7_min,0.35,4,90,0.8088235294117647,0.014386948981994906,0.0,0.003771248452099474,0.0,0.013197586726998445,0.0,0.16666666666666669,True
weak7_min,0.35,4,180,0.8088235294117647,0.014386948981994906,0.0,0.003771248452099474,0.0,0.013197586726998445,0.0,0.16666666666666669,True
weak7_min,0.35,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.35,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.4,2,90,0.7857142857142857,0.017469866620993812,-0.0015492472849050198,0.0007052445655108541,-0.03943377148634997,-0.024351466848344328,0.0,0.16666666666666669,False
weak7_min,0.4,2,180,0.7674418604651163,0.017469866620993812,-0.0020599250936329805,0.0004499056611468738,-0.0514596734289956,-0.030364417819667144,0.0,0.16666666666666669,False
weak7_min,0.4,3,90,0.8074074074074075,0.014386948981994906,0.0,0.0018906258818217614,0.0,0.013197586726998445,0.0,0.16666666666666669,True
weak7_min,0.4,3,180,0.8074074074074075,0.014386948981994906,0.0,0.0018906258818217614,0.0,0.013197586726998445,0.0,0.16666666666666669,True
weak7_min,0.4,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.4,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.4,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.4,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.5,2,90,0.7857142857142857,0.016442227407994177,-0.0015492472849050198,-0.00040972160461499874,-0.03943377148634997,-0.018627561124438585,0.0,0.16666666666666669,False
weak7_min,0.5,2,180,0.7674418604651163,0.016442227407994177,-0.0020599250936329805,-0.0006650605089789791,-0.0514596734289956,-0.024640512095761402,0.0,0.16666666666666669,False
weak7_min,0.5,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.5,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.5,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.5,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.5,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.5,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.6,2,90,0.8048780487804879,0.014386948981994906,-0.0010357165275249602,-0.0005178582637624801,-0.026873385012919915,-0.013436692506459957,0.0,0.0,False
weak7_min,0.6,2,180,0.7857142857142857,0.014386948981994906,-0.0015492472849050198,-0.0007746236424525099,-0.03943377148634997,-0.019716885743174983,0.0,0.0,False
weak7_min,0.6,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.6,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.6,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.6,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.6,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.6,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.7,2,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.7,2,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.7,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.7,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.7,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.7,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.7,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.7,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.8,2,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.8,2,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.8,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.8,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.8,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.8,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.8,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
weak7_min,0.8,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,0.0,False
