score_col,threshold,min_points,max_gap_minutes,weather_guard,tune_min_precision,tune_max_false_alarm,tune_min_point_f1_delta,tune_mean_point_f1_delta,tune_min_event_f1_delta,tune_mean_event_f1_delta,tune_mean_weak_episode_recall_delta,all_min_precision,all_max_false_alarm,all_min_point_f1_delta,all_mean_point_f1_delta,all_min_event_f1_delta,all_mean_event_f1_delta,all_mean_weak_episode_recall_delta,passes_tune_gates,passes_all_gates
weak_consensus_min,0.35,3,180,False,0.7913669064748201,0.01397212424232047,0.004487658937920802,0.0067544596164417214,-0.019354838709677358,-0.007992783236240308,0.08333333333333333,0.7913669064748201,0.01796346068791889,-0.0007817537072856151,0.004242388508532609,-0.019354838709677358,-0.007362325369499952,0.05555555555555555,False,False
weak_consensus_min,0.35,4,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.35,4,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.35,4,180,True,0.8014705882352942,0.012328344919694532,0.003769317753486656,0.00559437369241686,0.01016949152542379,0.018012768124696543,0.08333333333333333,0.8014705882352942,0.017419113394345587,0.0,0.0037295824616112396,0.0,0.012008512083131029,0.05555555555555555,True,True
weak_consensus_min,0.35,4,180,False,0.8014705882352942,0.012328344919694532,0.003769317753486656,0.00559437369241686,0.01016949152542379,0.018012768124696543,0.08333333333333333,0.8014705882352942,0.017419113394345587,0.0,0.0037295824616112396,0.0,0.012008512083131029,0.05555555555555555,True,True
weak_consensus_min,0.35,6,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.35,6,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.35,6,180,True,0.8,0.012328344919694532,0.0,0.0018589340175243219,0.0,0.005084745762711895,0.0,0.8,0.017419113394345587,0.0,0.0012392893450162146,0.0,0.003389830508474597,0.0,False,False
weak_consensus_min,0.35,6,180,False,0.8,0.012328344919694532,0.0,0.0018589340175243219,0.0,0.005084745762711895,0.0,0.8,0.017419113394345587,0.0,0.0012392893450162146,0.0,0.003389830508474597,0.0,False,False
weak_consensus_min,0.45,2,90,True,0.7941176470588235,0.013150234581007501,-0.0015077271013945737,-0.0007538635506972868,-0.011180992313067795,-0.005590496156533897,0.0,0.7941176470588235,0.017419113394345587,-0.0015077271013945737,-0.0005025757004648579,-0.011180992313067795,-0.0037269974376892647,0.0,False,False
