score_col,threshold,min_f1_delta,mean_f1_delta,min_macro_delta,max_fault_to_weather,mean_weather_f1,passes_discovery
weather6_mean,0.6500000000000001,-0.18700088731144632,0.005589192198618614,-0.21060734463276837,0.0,0.6458583433373349,False
weather6_mean,0.675,-0.18700088731144632,0.005589192198618614,-0.21060734463276837,0.0,0.6458583433373349,False
weather6_mean,0.7000000000000001,-0.2038323621694308,-0.0073843005358856795,-0.2158325698579936,0.0,0.6328848506028306,False
weather6_mean,0.7250000000000001,-0.22101449275362323,-0.015975365827981897,-0.2658325698579936,0.0,0.6242937853107344,False
weather6_mean,0.7500000000000001,-0.25647548566142464,-0.033705862281882604,-0.2767184557438795,0.0,0.6065632888568337,False
weather6_mean,0.7750000000000001,-0.2747779336138383,-0.047492751910704234,-0.2823913821914538,0.0,0.5927763992280122,False
weather6_mean,0.8,-0.2747779336138383,-0.0522083428331917,-0.2823913821914538,0.0,0.5880608083055247,False
weather6_min,0.05,-0.2703081232492997,-0.16681899263219999,-0.052803040075679375,0.01652892561983471,0.4734501585065164,False
weather6_min,0.07500000000000001,-0.11535303776683081,-0.075857626171498,-0.07311650214192583,0.004132231404958678,0.5644115249672184,False
weather6_min,0.1,-0.02098816405174786,-0.01995145963628131,-0.07015279917822292,0.0031545741324921135,0.6203176915024351,False
weather6_min,0.125,-0.029757662152530284,0.015574317925270975,-0.06829283743454023,0.0031545741324921135,0.6558434690639874,False
weather6_min,0.15000000000000002,-0.050000000000000044,0.026870748299319736,-0.08048112547040459,0.0031545741324921135,0.6671398994380361,False
weather6_min,0.175,-0.04557589626239511,0.05296573463687371,-0.08048112547040459,0.0031545741324921135,0.6932348857755901,False
weather6_min,0.2,-0.04557589626239511,0.06934069437057927,-0.08048112547040459,0.0031545741324921135,0.7096098455092956,False
weather6_min,0.22500000000000003,-0.04557589626239511,0.06934069437057927,-0.08048112547040459,0.0031545741324921135,0.7096098455092956,False
weather6_min,0.25,-0.06343873517786563,0.07083424927766116,-0.10259921455146753,0.0031545741324921135,0.7111034004163775,False
weather6_min,0.275,-0.06343873517786563,0.07805361137009267,-0.10259921455146753,0.0,0.718322762508809,False
weather6_min,0.3,-0.07286634460547509,0.07666206579250054,-0.13669012364237665,0.0,0.7169312169312169,False
weather6_min,0.325,-0.06836651767574159,0.07891197925736729,-0.13669012364237665,0.0,0.7191811303960837,False
weather6_min,0.35000000000000003,-0.06836651767574159,0.07891197925736729,-0.13669012364237665,0.0,0.7191811303960837,False
weather6_min,0.375,-0.06836651767574159,0.0827215030668911,-0.13669012364237665,0.0,0.7229906542056075,False
weather6_min,0.4,-0.08264971287940936,0.06712462091221172,-0.14105627841503549,0.0,0.707393772050928,False
weather6_min,0.425,-0.09720496894409941,0.059846992879866695,-0.14553158705701078,0.0,0.700116144018583,False
weather6_min,0.45,-0.11204013377926425,0.052429410462284276,-0.1501201946519475,0.0,0.6926985616010006,False
weather6_min,0.47500000000000003,-0.15434782608695652,0.03127556430843814,-0.16461053442543183,0.0,0.6715447154471545,False
weather6_min,0.5,-0.18700088731144632,0.010617433003137139,-0.21060734463276837,0.0,0.6508865841418535,False
weather6_min,0.525,-0.2038323621694308,-0.0022015018245815643,-0.2158325698579936,0.0,0.6380676493141348,False
weather6_min,0.55,-0.2038323621694308,-0.006678085846620163,-0.2158325698579936,0.0,0.6335910652920962,False
weather6_min,0.5750000000000001,-0.22101449275362323,-0.01141761052246984,-0.22120095193870443,0.0,0.6288515406162465,False
weather6_min,0.6000000000000001,-0.22101449275362323,-0.01141761052246984,-0.22120095193870443,0.0,0.6288515406162465,False
weather6_min,0.6250000000000001,-0.25647548566142464,-0.029148106976370547,-0.2767184557438795,0.0,0.6111210441623458,False
weather6_min,0.6500000000000001,-0.25647548566142464,-0.029148106976370547,-0.2767184557438795,0.0,0.6111210441623458,False
weather6_min,0.675,-0.2747779336138383,-0.04285708625808943,-0.2823913821914538,0.0,0.5974120648806269,False
weather6_min,0.7000000000000001,-0.29347826086956524,-0.052207249885952905,-0.288226392251816,0.0,0.5880619012527635,False
weather6_min,0.7250000000000001,-0.29347826086956524,-0.052207249885952905,-0.288226392251816,0.0,0.5880619012527635,False
weather6_min,0.7500000000000001,-0.31258958432871475,-0.07111416819062993,-0.2942305330385655,0.0,0.5691549829480864,False
weather6_min,0.7750000000000001,-0.3521006350757206,-0.09666767952690367,-0.30677649886162406,0.0,0.5436014716118127,False
weather6_min,0.8,-0.3725296442687747,-0.11692762779719298,-0.3133346173600411,0.0,0.5233415233415234,False
weather6_geom,0.05,-0.38923395445134573,-0.24102165949992035,-0.15491494291438135,0.03305785123966942,0.399247491638796,False
weather6_geom,0.07500000000000001,-0.2380014998125234,-0.14173679312725473,-0.06447465854862594,0.012396694214876033,0.4985323580114616,False
weather6_geom,0.1,-0.09992784992784987,-0.059532204204586325,-0.05373310775853152,0.008264462809917356,0.58073694693413,False
weather6_geom,0.125,-0.0010442773600668476,0.005886037828727098,-0.03637199664742036,0.008264462809917356,0.6461551889674435,False
weather6_geom,0.15000000000000002,0.03940217391304346,0.04410584886128366,-0.025955329980753727,0.004132231404958678,0.684375,False
weather6_geom,0.175,0.03101802757158001,0.04596216278732612,-0.05330575733118109,0.0031545741324921135,0.6862313139260425,False
weather6_geom,0.2,0.02898550724637683,0.07500862663906144,-0.056926231738172295,0.0031545741324921135,0.7152777777777778,False
weather6_geom,0.22500000000000003,-0.019865067466266928,0.0658211490349378,-0.07226000569719415,0.0031545741324921135,0.7060903001736542,False
weather6_geom,0.25,-0.01521739130434785,0.07782547801729389,-0.07226000569719415,0.0031545741324921135,0.7180946291560102,False
weather6_geom,0.275,-0.04107348980377068,0.07848922912408868,-0.08048112547040459,0.0031545741324921135,0.718758380262805,False
weather6_geom,0.3,-0.036490683229813636,0.09152763734411867,-0.06949211448139364,0.0031545741324921135,0.731796788482835,False
weather6_geom,0.325,-0.031825303564434027,0.0975546101225449,-0.06949211448139364,0.0031545741324921135,0.7378237612612613,False
weather6_geom,0.35000000000000003,-0.031825303564434027,0.0975546101225449,-0.06949211448139364,0.0031545741324921135,0.7378237612612613,False
weather6_geom,0.375,-0.031825303564434027,0.10130707075246614,-0.06949211448139364,0.0,0.7415762218911826,False
weather6_geom,0.4,-0.040586358197048256,0.09280205899671395,-0.0983382683275475,0.0,0.7330712101354303,False
weather6_geom,0.425,-0.040586358197048256,0.09661158280623777,-0.0983382683275475,0.0,0.7368807339449541,False
weather6_geom,0.45,-0.06836651767574159,0.0827215030668911,-0.13669012364237665,0.0,0.7229906542056075,False
weather6_geom,0.47500000000000003,-0.06836651767574159,0.07852795467979437,-0.13669012364237665,0.0,0.7187971058185108,False
weather6_geom,0.5,-0.06836651767574159,0.07852795467979437,-0.13669012364237665,0.0,0.7187971058185108,False
weather6_geom,0.525,-0.07815734989648038,0.07363253856942498,-0.14105627841503549,0.0,0.7139016897081414,False
weather6_geom,0.55,-0.07815734989648038,0.07363253856942498,-0.14105627841503549,0.0,0.7139016897081414,False
weather6_geom,0.5750000000000001,-0.09280936454849498,0.05330999698588634,-0.14553158705701078,0.0,0.6935791481246028,False
weather6_geom,0.6000000000000001,-0.15434782608695652,0.026397515527950333,-0.16461053442543183,0.0,0.6666666666666667,False
weather6_geom,0.6250000000000001,-0.17050944224857273,0.018316707447142228,-0.16969825372367747,0.0,0.6585858585858586,False
weather6_geom,0.6500000000000001,-0.18700088731144632,0.005589192198618614,-0.21060734463276837,0.0,0.6458583433373349,False
weather6_geom,0.675,-0.2038323621694308,-0.0028265452303736227,-0.2158325698579936,0.0,0.6374426059083427,False
weather6_geom,0.7000000000000001,-0.2038323621694308,-0.0073843005358856795,-0.2158325698579936,0.0,0.6328848506028306,False
weather6_geom,0.7250000000000001,-0.23855835240274603,-0.0247472956525433,-0.2712009519387044,0.0,0.615521855486173,False
weather6_geom,0.7500000000000001,-0.25647548566142464,-0.033705862281882604,-0.2767184557438795,0.0,0.6065632888568337,False
weather6_geom,0.7750000000000001,-0.2747779336138383,-0.047492751910704234,-0.2823913821914538,0.0,0.5927763992280122,False
weather6_geom,0.8,-0.29347826086956524,-0.06155850646105518,-0.288226392251816,0.0,0.5787106446776612,False
