ratio_threshold,recent_regularity,historical_q999_multiplier,tp,fp,fn,precision,recall,f1,false_gap_alerts_per_station_day
6.0,0.7,1.0,7,77,0,0.08333333333333333,1.0,0.15384615384615385,0.03135604723768155
10.0,0.98,3.0,1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.002036106963485815
12.0,0.98,3.0,1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.002036106963485815
10.0,0.9,0.0,3,29,4,0.09375,0.42857142857142855,0.15384615384615383,0.011809420388217728
8.0,0.8,0.0,6,70,1,0.07894736842105263,0.8571428571428571,0.14457831325301204,0.028505497488801414
2.5,0.98,3.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
3.0,0.98,3.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
4.0,0.98,3.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
5.0,0.98,3.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
6.0,0.98,3.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
8.0,0.98,3.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
10.0,0.98,0.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
10.0,0.98,1.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
10.0,0.98,1.5,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
10.0,0.98,2.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
12.0,0.98,0.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
12.0,0.98,1.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
12.0,0.98,1.5,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
12.0,0.98,2.0,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0024433283561829783
6.0,0.5,1.0,7,85,0,0.07608695652173914,1.0,0.1414141414141414,0.03461381837925886
8.0,0.9,0.0,3,34,4,0.08108108108108109,0.42857142857142855,0.13636363636363638,0.013845527351703543
5.0,0.8,1.0,7,90,0,0.07216494845360824,1.0,0.1346153846153846,0.03664992534274467
8.0,0.98,2.0,1,7,6,0.125,0.14285714285714285,0.13333333333333333,0.0028505497488801415
6.0,0.95,1.5,2,21,5,0.08695652173913043,0.2857142857142857,0.13333333333333333,0.008551649246640425
8.0,0.98,0.0,1,8,6,0.1111111111111111,0.14285714285714285,0.125,0.0032577711415773046
8.0,0.98,1.0,1,8,6,0.1111111111111111,0.14285714285714285,0.125,0.0032577711415773046
8.0,0.98,1.5,1,8,6,0.1111111111111111,0.14285714285714285,0.125,0.0032577711415773046
10.0,0.95,3.0,1,8,6,0.1111111111111111,0.14285714285714285,0.125,0.0032577711415773046
12.0,0.95,3.0,1,8,6,0.1111111111111111,0.14285714285714285,0.125,0.0032577711415773046
2.5,0.95,1.5,2,23,5,0.08,0.2857142857142857,0.125,0.00936609203203475
3.0,0.95,1.5,2,23,5,0.08,0.2857142857142857,0.125,0.00936609203203475
4.0,0.95,1.5,2,23,5,0.08,0.2857142857142857,0.125,0.00936609203203475
5.0,0.95,1.5,2,23,5,0.08,0.2857142857142857,0.125,0.00936609203203475
5.0,0.7,1.0,7,98,0,0.06666666666666667,1.0,0.125,0.03990769648432198
2.5,0.95,3.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
2.5,0.98,2.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
3.0,0.95,3.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
3.0,0.98,2.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
4.0,0.95,3.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
4.0,0.98,2.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
5.0,0.95,3.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
5.0,0.98,2.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
6.0,0.95,3.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
6.0,0.98,2.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
8.0,0.95,3.0,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0036649925342744673
5.0,0.5,1.0,7,107,0,0.06140350877192982,1.0,0.11570247933884298,0.04357268901859645
30.0,0.7,0.0,3,43,4,0.06521739130434782,0.42857142857142855,0.11320754716981131,0.017510519885978012
4.0,0.8,1.0,7,110,0,0.05982905982905983,1.0,0.11290322580645161,0.04479435319668794
