score_col,threshold,min_points,max_gap_minutes,min_precision,max_false_alarm,min_point_f1_delta,mean_point_f1_delta,min_event_f1_delta,mean_event_f1_delta,mean_weak_recall_delta,passes_discovery
weak6_geom,0.4,2,90,0.7857142857142857,0.017469866620993812,-0.0015492472849050198,0.0007052445655108541,-0.03943377148634997,-0.024351466848344328,0.16666666666666669,False
weak6_geom,0.4,2,180,0.7674418604651163,0.017469866620993812,-0.0020599250936329805,0.0004499056611468738,-0.0514596734289956,-0.030364417819667144,0.16666666666666669,False
weak6_geom,0.4,2,360,0.7674418604651163,0.017469866620993812,-0.0020599250936329805,0.0004499056611468738,-0.0514596734289956,-0.030364417819667144,0.16666666666666669,False
weak6_geom,0.4,3,90,0.8074074074074075,0.014386948981994906,0.0,0.0018906258818217614,0.0,0.013197586726998445,0.16666666666666669,True
weak6_geom,0.4,3,180,0.8074074074074075,0.014386948981994906,0.0,0.0018906258818217614,0.0,0.013197586726998445,0.16666666666666669,True
weak6_geom,0.4,3,360,0.8074074074074075,0.014386948981994906,0.0,0.0018906258818217614,0.0,0.013197586726998445,0.16666666666666669,True
weak6_geom,0.4,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.4,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.4,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.4,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.4,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.4,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.5,2,90,0.7857142857142857,0.016442227407994177,-0.0015492472849050198,-0.00040972160461499874,-0.03943377148634997,-0.018627561124438585,0.16666666666666669,False
weak6_geom,0.5,2,180,0.7674418604651163,0.016442227407994177,-0.0020599250936329805,-0.0006650605089789791,-0.0514596734289956,-0.024640512095761402,0.16666666666666669,False
weak6_geom,0.5,2,360,0.7674418604651163,0.016442227407994177,-0.0020599250936329805,-0.0006650605089789791,-0.0514596734289956,-0.024640512095761402,0.16666666666666669,False
weak6_geom,0.5,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.5,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.5,3,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.5,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.5,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.5,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.5,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.5,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.5,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.6,2,90,0.8048780487804879,0.014386948981994906,-0.0010357165275249602,-0.0005178582637624801,-0.026873385012919915,-0.013436692506459957,0.0,False
weak6_geom,0.6,2,180,0.7857142857142857,0.014386948981994906,-0.0015492472849050198,-0.0007746236424525099,-0.03943377148634997,-0.019716885743174983,0.0,False
weak6_geom,0.6,2,360,0.7857142857142857,0.014386948981994906,-0.0015492472849050198,-0.0007746236424525099,-0.03943377148634997,-0.019716885743174983,0.0,False
weak6_geom,0.6,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.6,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.6,3,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.6,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.6,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.6,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.6,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.6,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.6,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.7,2,90,0.8059701492537313,0.014386948981994906,-0.0005193088471343588,-0.0002596544235671794,-0.01374207188160681,-0.006871035940803405,0.0,False
weak6_geom,0.7,2,180,0.8059701492537313,0.014386948981994906,-0.0005193088471343588,-0.0002596544235671794,-0.01374207188160681,-0.006871035940803405,0.0,False
weak6_geom,0.7,2,360,0.8059701492537313,0.014386948981994906,-0.0005193088471343588,-0.0002596544235671794,-0.01374207188160681,-0.006871035940803405,0.0,False
weak6_geom,0.7,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.7,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.7,3,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.7,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.7,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.7,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.7,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.7,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.7,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,2,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,2,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,2,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,3,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.8,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
