domain,station_id,year,cluster,evaluation_role,rows,complete_primary_fraction,mode_cadence_minutes,regular_cadence_fraction,full_year_slot_coverage,gap_ratio_q95,gap_ratio_q99,gap_ratio_q999,long_gap_fraction_gt_4x,max_gap_hours,exact_time_neighbour_ge_1_fraction,exact_time_neighbour_ge_2_fraction,active_months,duplicate_station_timestamps
india,43021099999,2022,hyderabad,development,2015,0.9880893300248139,30.0,0.5983118172790467,0.11501141552511415,30.0,45.0,48.0,0.3455809334657398,24.0,0.9870967741935484,0.9786600496277915,12,0
india,43021099999,2023,hyderabad,development,2846,0.9922698524244554,30.0,0.6850615114235501,0.16244292237442923,30.0,39.11999999999989,48.0,0.25413005272407735,72.0,0.9845397048489107,0.9722417427969079,12,0
india,43086099999,2022,hyderabad,station_holdout,2880,0.9996527777777777,180.0,0.9888850295241404,0.9863013698630136,1.0,2.0,3.0,0.0,9.0,1.0,0.9989583333333333,12,0
india,43086099999,2023,hyderabad,station_holdout,2852,0.9996493688639552,180.0,0.9821115398105927,0.9767123287671233,1.0,2.0,3.150000000000091,0.00035075412136092597,42.0,0.9996493688639552,0.9992987377279102,12,0
india,43128099999,2022,hyderabad,development,11986,0.9995828466544302,30.0,0.8586566541510221,0.6841324200913242,6.0,6.0,12.0,0.06332916145181477,9.5,0.9929918237944269,0.955531453362256,12,0
india,43128099999,2023,hyderabad,development,11484,0.9999129223267155,30.0,0.8435077941304537,0.6554794520547945,6.0,6.0,12.0,0.0711486545327876,10.5,0.9919888540578196,0.939481017067224,12,0
india,43128599999,2022,hyderabad,development,17119,0.9998247561189322,30.0,0.9879658838649374,0.9771118721461187,1.0,2.0,4.88300000000163,0.0010515247108307045,23.0,0.7582218587534318,0.6701910158303639,12,0
india,43128599999,2023,hyderabad,development,16363,0.9999388865122533,30.0,0.9710304363769711,0.9339611872146119,1.0,2.0,11.277999999998428,0.0026280405818359612,44.0,0.74479007516959,0.6492085803336797,12,0
india,43181099999,2022,hyderabad,development,12656,1.0,30.0,0.9020150138285262,0.7223744292237443,6.0,6.0,12.0,0.05800079020150138,10.0,0.9977876106194691,0.9058154235145386,12,0
india,43181099999,2023,hyderabad,development,12096,0.9997519841269841,30.0,0.8819346837536172,0.6904109589041096,6.0,6.0,12.906000000000859,0.06399338569656883,42.0,0.9901620370370371,0.8881448412698413,12,0
india,43213099999,2022,hyderabad,development,2883,1.0,180.0,0.9899375433726578,0.9873287671232877,1.0,1.1900000000000546,3.0,0.0,12.0,1.0,1.0,12,0
india,43213099999,2023,hyderabad,development,2861,1.0,180.0,0.9863636363636363,0.9797945205479452,1.0,2.0,3.1410000000000764,0.00034965034965034965,42.0,0.999650471862985,0.9993009437259699,12,0
india,43233099999,2022,bengaluru,station_holdout,2877,0.9975669099756691,180.0,0.9881780250347705,0.9852739726027397,1.0,2.0,3.0,0.0,12.0,1.0,0.9996524157108099,12,0
india,43233099999,2023,bengaluru,station_holdout,1945,0.9989717223650385,180.0,0.8662551440329218,0.666095890410959,5.0,5.0,6.057000000000016,0.11882716049382716,42.0,1.0,1.0,12,0
india,43245099999,2022,chennai,development,2870,0.9993031358885017,180.0,0.9853607528755663,0.9828767123287672,1.0,2.0,3.0,0.0,12.0,1.0,0.9989547038327526,12,0
india,43245099999,2023,chennai,development,2825,0.9996460176991151,180.0,0.9755665722379604,0.9674657534246576,1.0,2.0,4.0,0.000708215297450425,42.0,1.0,0.9992920353982301,12,0
india,43275099999,2022,chennai,development,1797,0.9994435169727324,180.0,0.7939866369710468,0.6154109589041096,4.0,4.0499999999999545,6.0,0.01002227171492205,21.0,1.0,0.9994435169727324,12,0
india,43275099999,2023,chennai,development,1768,0.9994343891402715,180.0,0.7826825127334465,0.6054794520547945,4.0,5.0,5.467999999999847,0.013016411997736276,63.0,1.0,1.0,12,0
india,43278099999,2022,chennai,development,2156,0.9995361781076066,180.0,0.8245939675174014,0.7383561643835617,3.0,3.0,4.846000000000004,0.0013921113689095127,15.0,0.9995361781076066,0.9990723562152134,12,0
india,43278099999,2023,chennai,development,2096,0.9985687022900763,180.0,0.8071599045346062,0.7178082191780822,3.0,4.0,5.0,0.0042959427207637235,45.0,0.9995229007633588,0.9995229007633588,12,0
india,43279099999,2022,chennai,development,17314,0.9997112163567056,30.0,0.9947438341130942,0.9882420091324201,1.0,1.0,3.687999999998283,0.0008086409056778143,6.5,0.1674945131107774,0.1670902160101652,12,0
india,43279099999,2023,chennai,development,17311,1.0,30.0,0.9896013864818024,0.9880707762557077,1.0,1.0,3.690999999998894,0.0005777007510109763,10.5,0.16688810582866387,0.16654150540119,12,0
india,43284099999,2022,bengaluru,development,17107,0.9997077219851522,30.0,0.9825792119724074,0.9764269406392694,1.0,2.0,4.0,0.0009353443236291359,10.5,0.9988308879406091,0.9261705734494652,12,0
india,43284099999,2023,bengaluru,development,16652,0.9995195772279606,30.0,0.977598943006426,0.9504566210045662,1.0,2.0,6.0,0.004324064620743499,30.5,0.9990391544559212,0.9439106413644007,12,0
india,43295099999,2022,bengaluru,development,2846,0.9933239634574842,180.0,0.9778558875219684,0.9746575342465753,1.0,2.0,3.155999999999949,0.0,12.0,1.0,1.0,12,0
india,43295099999,2023,bengaluru,development,2828,0.9925742574257426,180.0,0.9755925008843297,0.9684931506849315,1.0,2.0,3.173999999999978,0.00035373187124159886,42.0,0.9992927864214993,0.9978783592644979,12,0
