"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GA5","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","OC1","OD1","REM","EQD"
"43295099999","2024-01-03T12:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","140,1,N,0015,1","02400,1,C,N","004000,1,9,9","+0250,1","+0139,1","99999,9",,,,,,,"03,1,+00360,1,06,1","04,1,+02400,1,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00360,1,99,9,99,9",,,"99999,9,09091,1","9,9,999,9,-005,1","3,1505,9",,,,"SYN07643295 32496 61403 10250 20139 39091 48505 83531 333 10255 59005 83612 84358=",
"43295099999","2024-01-03T15:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0015,1","02400,1,C,N","004000,1,9,9","+0228,1","+0154,1","99999,9",,,,,,,"03,1,+00360,1,06,1","04,1,+02400,1,03,1",,,,"9,AGL   ,+99999,+99999","05,99,1,03,1,99,9,00360,1,99,9,99,9",,,"99999,9,09108,1","9,9,999,9,-012,1","3,1518,9",,,,"SYN07043295 32496 50903 10228 20154 39108 48518 83530 333 59012 83612 84358=",
"43295099999","2024-01-03T18:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0015,1","02400,1,C,N","004000,1,9,9","+0208,1","+0174,1","99999,9",,,,,,,"03,1,+00360,1,06,1","04,1,+02400,1,03,1",,,,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00360,1,99,9,99,9",,,"99999,9,09111,1","9,9,999,9,-004,1","3,1517,9",,,,"SYN07043295 32496 60903 10208 20174 39111 48517 83530 333 59004 83612 84358=",
"43295099999","2024-01-04T00:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0010,1","00360,1,C,N","004000,1,9,9","+0196,1","+0174,1","99999,9",,,"2,1,02,1","2,1,02,1",,,"02,1,+00240,1,07,1","03,1,+00360,1,06,1",,,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00240,1,99,9,99,9",,,"99999,9,09106,1",,"3,1510,9","10,1",,,"SYN08243295 31396 60902 10196 20174 39106 48510 71022 84630 333 56290 58001 82708 83612=",
"43295099999","2024-01-04T03:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0015,1","00360,1,C,N","010000,1,9,9","+0200,1","+0172,1","99999,9",,,,,,,"03,1,+00300,1,07,1","03,1,+00360,1,06,1",,,,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00300,1,99,9,99,9","240,M,+0255,1","240,N,+0188,1","99999,9,09128,1",,"3,1530,9",,,,"SYN09843295 32497 60903 10200 20172 39128 48530 85601 333 10255 20188 56209 58002 83710 83612 555 10000=",
"43295099999","2024-01-04T06:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0015,1","00450,1,C,N","010000,1,9,9","+0238,1","+0173,1","99999,9",,,,,,,"03,1,+00300,1,07,1","03,1,+00450,1,06,1",,,,"9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00300,1,99,9,99,9",,,"99999,9,09124,1",,"3,1534,9",,,,"SYN07643295 32497 70903 10238 20173 39124 48534 86601 333 56209 59003 83710 83615=",
"43295099999","2024-01-04T09:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","070,1,N,0015,1","02400,1,C,N","004000,1,9,9","+0250,1","+0173,1","99999,9",,,,,,,"03,1,+00360,1,06,1","05,1,+02400,1,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00360,1,99,9,99,9",,,"99999,9,09095,1","9,9,999,9,+003,1","3,1509,9",,,,"SYN07043295 32496 70703 10250 20173 39095 48509 83531 333 58003 83612 85358=",
"43295099999","2024-01-04T12:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0015,1","02400,1,C,N","004000,1,9,9","+0240,1","+0158,1","99999,9","09,0000,9,1",,"5,1,02,1","2,1,02,1",,,"03,1,+00360,1,06,1","05,1,+02400,1,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00360,1,99,9,99,9",,,"99999,9,09096,1","9,9,999,9,+005,1","3,1508,9","02,1",,,"SYN08843295 21496 70903 10240 20158 39096 48508 70252 83531 333 10253 58005 6990/ 83612 85358=","Q01  00002PRCP09"
"43295099999","2024-01-04T15:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0010,1","02400,1,C,N","004000,1,9,9","+0226,1","+0180,1","99999,9","12,0000,9,1",,"5,1,02,1","2,1,02,1",,,"03,1,+00360,1,06,1","05,1,+02400,1,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00360,1,99,9,99,9",,,"99999,9,09114,1","9,9,999,9,+006,1","3,1523,9","02,1",,,"SYN08243295 21496 70902 10226 20180 39114 48523 70252 83531 333 58006 6990/ 83612 85358=","Q01  00002PRCP12"
"43295099999","2024-01-04T18:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0010,1","00450,1,C,N","004000,1,9,9","+0212,1","+0181,1","99999,9","15,0000,9,1",,"5,1,02,1","2,1,02,1",,,"03,1,+00300,1,07,1","03,1,+00450,1,06,1","05,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00300,1,99,9,99,9",,,"99999,9,09112,1","9,9,999,9,+001,1","3,1517,9","02,1",,,"SYN08843295 21496 80902 10212 20181 39112 48517 70252 8667/ 333 58001 6990/ 83710 83615 85358=","Q01  00002PRCP15"
