"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","GA1","GE1","GF1","KA1","KA2","MA1","MD1","REM","EQD"
"43125099999","2024-02-16T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","090,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0298,1","+9999,9","10122,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0324,1",,"99999,9,09402,1","9,9,999,9,+002,1","SYN06443125 32997 10902 10298 20590 39402 40122 80000 333 10324 58002=","Q0159    1ATOD  "
"43125099999","2024-02-18T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0224,1","+0106,1","10159,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0344,1","240,N,+0166,1","99999,9,09420,1","9,9,999,9,-020,1","SYN08043125 32997 12302 10224 20106 39420 40159 80000 333 10344 20166 59020 555 10000=",
"43125099999","2024-02-19T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0232,1","+0121,1","10150,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0336,1","240,N,+0175,1","99999,9,09414,1","9,9,999,9,-006,1","SYN08043125 32997 12302 10232 20121 39414 40150 80000 333 10336 20175 59006 555 10000=",
"43125099999","2024-02-20T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0242,1","+0133,1","10154,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0340,1","240,N,+0180,1","99999,9,09420,1","9,9,999,9,+006,1","SYN08043125 32997 12302 10242 20133 39420 40154 80000 333 10340 20180 58006 555 10000=",
"43125099999","2024-02-21T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","090,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0230,1","+0114,1","10153,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0338,1","240,N,+0165,1","99999,9,09414,1","9,9,999,9,-006,1","SYN08043125 32997 10902 10230 20114 39414 40153 80000 333 10338 20165 59006 555 10000=",
"43125099999","2024-02-22T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","300,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0244,1","+0140,1","10148,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0336,1","240,N,+0165,1","99999,9,09414,1","9,9,999,9,+000,1","SYN08043125 32997 13002 10244 20140 39414 40148 80000 333 10336 20165 58000 555 10000=",
"43125099999","2024-02-23T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0212,1","+0112,1","10162,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0334,1","240,N,+0166,1","99999,9,09420,1","9,9,999,9,+006,1","SYN08043125 32997 10502 10212 20112 39420 40162 80000 333 10334 20166 58006 555 10000=",
"43125099999","2024-02-24T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0200,1","+0117,1","10147,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0320,1","240,N,+0160,1","99999,9,09420,1","9,9,999,9,+000,1","SYN08043125 32997 11402 10200 20117 39420 40147 80000 333 10320 20160 58000 555 10000=",
"43125099999","2024-02-25T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","300,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0230,1","+0174,1","99999,9",,,"05,1,+99999,9,99,9","9,AGL   ,+99999,+99999","07,99,1,05,1,99,9,99999,9,99,9,99,9","240,M,+0340,1","240,N,+0200,1","99999,9,09430,1","9,9,999,9,+010,1","SYN08043125 32997 73002 10230 20174 39430 40/// 85000 333 10340 20200 58010 555 10000=",
"43125099999","2024-02-26T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0226,1","+0183,1","10171,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0325,1","240,N,+0190,1","99999,9,09430,1","9,9,999,9,+000,1","SYN08043125 32997 11402 10226 20183 39430 40171 80000 333 10325 20190 58000 555 10000=",
