"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","MD1","MW1","REM","EQD"
"43057099999","2024-01-13T12:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","320,1,N,0015,1","22000,1,9,N","002000,1,9,9","+0290,1","+0225,1","10125,1",,"0,1,02,1","0,1,02,1","01,1,+00800,1,06,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9",,"9,9,999,9,+014,1","05,1","SYN06443057 31595 13203 10290 20225 40125 70500 81500 333 10338 58014=",
"43057099999","2024-01-14T03:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0246,1","+0200,1","10156,1",,"0,1,02,1","0,1,02,1","01,1,+00800,1,06,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9","240,N,+0226,1","9,9,999,9,+015,1","05,1","SYN06443057 31595 10000 10246 20200 40156 70500 81500 333 20226 58015=",
"43057099999","2024-01-14T06:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","020,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0320,1","+0152,1","10155,1",,"0,1,02,1","0,1,02,1",,,,,,,"9,9,999,9,+004,1","05,1","SYN05243057 31996 00202 10320 20152 40155 70500 333 58004=",
"43057099999","2024-01-14T09:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0320,1","+0173,1","10126,1",,"0,1,02,1","0,1,02,1","01,1,+00800,1,06,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9",,"9,9,999,9,-001,1","05,1","SYN05843057 31595 10000 10320 20173 40126 70500 81500 333 59001=",
"43057099999","2024-01-14T12:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","320,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0296,1","+0177,1","10125,1",,"0,1,02,1","0,1,02,1","01,1,+00800,1,06,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9",,"9,9,999,9,+000,1","05,1","SYN06443057 31596 13203 10296 20177 40125 70500 81500 333 10326 58000=",
"43057099999","2024-01-15T03:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0232,1","+0106,1","10154,1",,"0,1,02,1","0,1,02,1","01,1,+00800,1,06,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9","240,N,+0220,1","9,9,999,9,-002,1","05,1","SYN07443057 31596 10000 10232 20106 40154 70500 81500 333 20220 59002 555 10000=",
"43057099999","2024-01-15T12:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0270,1","+0152,1","10124,1",,"0,1,02,1","0,1,02,1",,,,,,,"9,9,999,9,-001,1","05,1","SYN05843057 31996 02902 10270 20152 40124 70500 333 10315 59001=",
"43057099999","2024-01-16T03:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0204,1","+0126,1","10138,1",,"0,1,02,1","0,1,02,1",,,,,,"240,N,+0188,1","9,9,999,9,-016,1","05,1","SYN06843057 31995 00000 10204 20126 40138 70500 333 20188 59016 555 10000=",
"43057099999","2024-01-16T06:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0274,1","+0145,1","10137,1",,"0,1,02,1","0,1,02,1",,,,,,,"9,9,999,9,-021,1","05,1","SYN05243057 31996 00000 10274 20145 40137 70500 333 59021=",
"43057099999","2024-01-16T09:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0280,1","+0168,1","10106,1",,"0,1,02,1","0,1,02,1","01,1,+00800,1,06,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9",,"9,9,999,9,-021,1","05,1","SYN05843057 31595 10000 10280 20168 40106 70500 81500 333 59021=",
"43057099999","2024-01-16T12:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0268,1","+0153,1","10103,1",,"0,1,02,1","0,1,02,1","01,1,+00800,1,06,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9",,"9,9,999,9,-021,1","05,1","SYN06443057 31595 10000 10268 20153 40103 70500 81500 333 10286 59021=",
"43057099999","2024-01-17T03:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0218,1","+0180,1","10123,1",,"0,1,02,1","0,1,02,1","01,1,+00800,1,06,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9","240,N,+0200,1","9,9,999,9,-015,1","05,1","SYN07443057 31595 10000 10218 20180 40123 70500 81500 333 20200 59015 555 10000=",
"43057099999","2024-01-17T09:00:00","4","18.9","72.8166666","11.0","BOMBAY COLABA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0284,1","+0150,1","10100,1",,"0,1,02,1","0,1,02,1",,,,,,,"9,9,999,9,-006,1","05,1","SYN05243057 31996 00000 10284 20150 40100 70500 333 59006=",
