"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43128599999","2023-01-01T12:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0021,1","99999,9,9,N","006000,1,9,9","+0280,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10170,1,99999,9",,,,"MET057METAR VOHS 011200Z VRB04KT 6000 SCT020 28/17 Q1017 NOSIG=",
"43128599999","2023-01-01T12:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","090,1,N,0021,1","99999,9,9,N","006000,1,9,9","+0270,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10170,1,99999,9",,,,"MET057METAR VOHS 011230Z 09004KT 6000 SCT020 27/17 Q1017 NOSIG=",
"43128599999","2023-01-01T13:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0021,1","99999,9,9,N","006000,1,9,9","+0250,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET057METAR VOHS 011300Z 10004KT 6000 SCT020 25/17 Q1018 NOSIG=",
"43128599999","2023-01-01T13:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0021,1","99999,9,9,N","006000,1,9,9","+0250,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET057METAR VOHS 011330Z 12004KT 6000 SCT020 25/17 Q1018 NOSIG=",
"43128599999","2023-01-01T14:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0021,1","99999,9,9,N","006000,1,9,9","+0240,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET057METAR VOHS 011400Z 11004KT 6000 SCT020 24/17 Q1019 NOSIG=",
"43128599999","2023-01-01T14:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0031,1","99999,9,9,N","006000,1,9,9","+0240,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET057METAR VOHS 011430Z 12006KT 6000 SCT020 24/17 Q1019 NOSIG=",
"43128599999","2023-01-01T15:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0026,1","99999,9,9,N","006000,1,9,9","+0230,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET061METAR COR VOHS 011500Z 10005KT 6000 SCT020 23/17 Q1019 NOSIG=",
"43128599999","2023-01-01T15:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0026,1","99999,9,9,N","006000,1,9,9","+0230,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET057METAR VOHS 011530Z 11005KT 6000 SCT020 23/17 Q1020 NOSIG=",
"43128599999","2023-01-01T16:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0026,1","99999,9,9,N","006000,1,9,9","+0230,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET057METAR VOHS 011600Z 10005KT 6000 SCT020 23/17 Q1020 NOSIG=",
"43128599999","2023-01-01T16:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0026,1","99999,9,9,N","006000,1,9,9","+0220,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET066METAR COR VOHS 011630Z 08005KT 6000 SCT020 22/17 Q1020 TEMPO 5000=",
"43128599999","2023-01-01T17:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0031,1","99999,9,9,N","005000,1,9,9","+0220,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9","05,1",,,"MET060METAR VOHS 011700Z 10006KT 5000 HZ SCT020 22/17 Q1020 NOSIG=",
