"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","REM","EQD"
"43278099999","2023-01-04T09:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","090,1,N,0021,1","99999,9,9,N","010000,1,9,9","+0280,1","+0218,1","10134,1","06,0000,9,1","5,1,02,1","2,1,02,1",,,"05,1,+00800,1,06,1","99,9,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,05,1,99,9,00800,1,99,9,99,9",,,"99999,9,10127,1","9,9,999,9,-009,1",,"02,1","SYN07043278 21597 70904 10280 20218 30127 40134 70252 85570 333 59009 6990/=","Q01  00002PRCP06"
"43278099999","2023-01-04T12:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0268,1","+0207,1","10129,1","09,0000,9,1","5,1,02,1","2,1,02,1",,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,10122,1","9,9,999,9,-014,1",,"02,1","SYN07643278 21597 60703 10268 20207 30122 40129 70252 83571 333 10300 59014 6990/=","Q01  00002PRCP09"
"43278099999","2023-01-04T15:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0258,1","+0200,1","10144,1","12,0000,9,1",,,,,"02,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10137,1","9,9,999,9,-012,1",,,"SYN06443278 22596 40703 10258 20200 30137 40144 82501 333 59012 6990/=","Q01  00002PRCP12"
"43278099999","2023-01-05T00:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0031,1","99999,9,9,N","004000,1,9,9","+0258,1","+0196,1","10139,1","21,0000,9,1",,,,,"02,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","05,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10132,1","9,9,999,9,-008,1",,,"SYN06443278 22596 50706 10258 20196 30132 40139 82531 333 59008 6990/=","Q01  00002PRCP21"
"43278099999","2023-01-05T03:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0021,1","99999,9,9,N","010000,1,9,9","+0274,1","+0211,1","10163,1","24,0000,9,1",,,,,"04,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","05,99,1,04,1,99,9,00800,1,99,9,99,9","240,M,+0300,1","240,N,+0251,1","99999,9,10156,1","9,9,999,9,-006,1",,,"SYN08643278 22597 50704 10274 20211 30156 40163 84501 333 10300 20251 59006 6990/ 555 10000=","Q01  00002PRCP24"
"43278099999","2023-01-05T06:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0026,1","99999,9,9,N","010000,1,9,9","+0298,1","+0211,1","10164,1",,,,,,"05,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,05,1,99,9,00800,1,99,9,99,9",,,"99999,9,10157,1","9,9,999,9,+002,1",,,"SYN05843278 32597 60505 10298 20211 30157 40164 85501 333 58002=",
"43278099999","2023-01-05T09:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","090,1,N,0015,1","22000,1,9,N","010000,1,9,9","+0294,1","+0193,1","10139,1",,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10132,1","9,9,999,9,+005,1",,,"SYN05843278 32597 30903 10294 20193 30132 40139 82401 333 58005=",
"43278099999","2023-01-05T12:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0015,1","22000,1,9,N","010000,1,9,9","+0276,1","+0206,1","10141,1",,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10134,1","9,9,999,9,+012,1",,,"SYN06443278 32597 40503 10276 20206 30134 40141 82531 333 10304 58012=",
"43278099999","2023-01-05T15:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0268,1","+0207,1","10163,1",,,,,,"01,1,+00800,1,08,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,00800,1,99,9,99,9",,,"99999,9,10156,1","9,9,999,9,+019,1",,,"SYN05843278 32596 30703 10268 20207 30156 40163 81131 333 58019=",
"43278099999","2023-01-06T00:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","340,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0257,1","+0204,1","10148,1",,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10141,1","9,9,999,9,+009,1",,,"SYN05843278 32596 43403 10257 20204 30141 40148 82531 333 58009=",
