"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43302599999","2023-01-02T02:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","001500,1,9,9","+0170,1","+0160,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9","10,1",,,"MET065METAR VOBG 020200Z 00000KT 1500 BR NSC 17/16 Q1021 BECMG 3000 BR=",
"43302599999","2023-01-02T02:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0180,1","+0170,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9","10,1",,,"MET065METAR VOBG 020230Z 00000KT 2000 BR NSC 18/17 Q1021 BECMG 3000 BR=",
"43302599999","2023-01-02T03:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0026,1","22000,1,9,N","003000,1,9,9","+0190,1","+0180,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9","10,1",,,"MET057METAR VOBG 020300Z 10005KT 3000 BR NSC 19/18 Q1022 NOSIG=",
"43302599999","2023-01-02T03:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","110,1,N,0031,1","22000,1,9,N","004000,1,9,9","+0200,1","+0190,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9","10,1",,,"MET065METAR VOBG 020330Z 11006KT 4000 BR NSC 20/19 Q1022 BECMG 5000 BR=",
"43302599999","2023-01-02T04:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0031,1","22000,1,9,N","005000,1,9,9","+0210,1","+0170,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9","10,1",,,"MET062METAR VOBG 020400Z 10006KT 5000 BR NSC 21/17 Q1022 BECMG 6000=",
"43302599999","2023-01-02T04:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0036,1","22000,1,9,N","006000,1,9,9","+0230,1","+0160,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET054METAR VOBG 020430Z 10007KT 6000 NSC 23/16 Q1022 NOSIG=",
"43302599999","2023-01-02T05:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0046,1","22000,1,9,N","006000,1,9,9","+0240,1","+0130,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET054METAR VOBG 020500Z 08009KT 6000 NSC 24/13 Q1022 NOSIG=",
"43302599999","2023-01-02T05:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","110,1,N,0041,1","22000,1,9,N","008000,1,9,9","+0250,1","+0130,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET054METAR VOBG 020530Z 11008KT 8000 NSC 25/13 Q1022 NOSIG=",
"43302599999","2023-01-02T06:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","070,1,N,0041,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0130,1","99999,9",,,,,,,,,"10210,1,99999,9",,,,"MET051METAR VOBG 020600Z 07008KT CAVOK 25/13 Q1021 NOSIG=",
"43302599999","2023-01-02T06:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0051,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0120,1","99999,9",,,,,,,,,"10210,1,99999,9",,,,"MET051METAR VOBG 020630Z 09010KT CAVOK 26/12 Q1021 NOSIG=",
"43302599999","2023-01-02T07:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0041,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0120,1","99999,9",,,,,,,,,"10200,1,99999,9",,,,"MET051METAR VOBG 020700Z 08008KT CAVOK 26/12 Q1020 NOSIG=",
"43302599999","2023-01-02T07:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","070,1,N,0041,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0120,1","99999,9",,,,,,,,,"10200,1,99999,9",,,,"MET051METAR VOBG 020730Z 07008KT CAVOK 27/12 Q1020 NOSIG=",
"43302599999","2023-01-02T08:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0041,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0120,1","99999,9",,,,,,,,,"10190,1,99999,9",,,,"MET051METAR VOBG 020800Z 08008KT CAVOK 27/12 Q1019 NOSIG=",
"43302599999","2023-01-02T09:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0036,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0120,1","99999,9",,,,,,,,,"10180,1,99999,9",,,,"MET055METAR COR VOBG 020900Z 08007KT CAVOK 27/12 Q1018 NOSIG=",
"43302599999","2023-01-02T09:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","070,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0120,1","99999,9",,,,,,,,,"10170,1,99999,9",,,,"MET051METAR VOBG 020930Z 07006KT CAVOK 27/12 Q1017 NOSIG=",
"43302599999","2023-01-02T10:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0120,1","99999,9",,,,,,,,,"10170,1,99999,9",,,,"MET051METAR VOBG 021000Z 09005KT CAVOK 27/12 Q1017 NOSIG=",
"43302599999","2023-01-02T10:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0046,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0120,1","99999,9",,,,,,,,,"10170,1,99999,9",,,,"MET051METAR VOBG 021030Z 08009KT CAVOK 27/12 Q1017 NOSIG=",
"43302599999","2023-01-02T11:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0120,1","99999,9",,,,,,,,,"10170,1,99999,9",,,,"MET051METAR VOBG 021100Z 08006KT CAVOK 26/12 Q1017 NOSIG=",
"43302599999","2023-01-02T11:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0130,1","99999,9",,,,,,,,,"10180,1,99999,9",,,,"MET051METAR VOBG 021130Z 08006KT CAVOK 26/13 Q1018 NOSIG=",
"43302599999","2023-01-02T12:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0051,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0130,1","99999,9",,,,,,,,,"10180,1,99999,9",,,,"MET051METAR VOBG 021200Z 10010KT CAVOK 25/13 Q1018 NOSIG=",
