station_id,station_name,state,district,climate_zone,cluster,evaluation_role,latitude,longitude,elevation_m,icao,wmo_id,wigos_id,is_benchmark,is_active_2024_plus,is_active_2020_plus,BEGIN,END
55C9FF74,MANAPARAI,TAMIL_NADU,TIRUCHIRAPPALLI,Coastal Plains,coastal_plains,all_india_network,10.6,78.42,30.0,,,,0,1,1,20200101,20260925
55CA062C,THIRUKOILUR,TAMIL_NADU,KALLAKURICHI,Coastal Plains,coastal_plains,all_india_network,11.95,79.1833,30.0,,,,0,1,1,20200101,20260925
55CA33B6,MANALMEDU,TAMIL_NADU,MAYILADUTHURAI,Coastal Plains,coastal_plains,all_india_network,11.26,79.6,30.0,,,,0,1,1,20200101,20260925
55CA4BF4,NYAPIN,ARUNACHAL_PRADESH,KURUNG_KUMEY,Northeast Hills,northeast_hills,all_india_network,27.7481,93.3892,650.0,,,,0,1,1,20200101,20260925
55CA5650,SENTHURAI,TAMIL_NADU,ARIYALUR,Coastal Plains,coastal_plains,all_india_network,11.24,79.18,30.0,,,,0,1,1,20200101,20260925
55CA5882,JAYAMKONDAM,TAMIL_NADU,ARIYALUR,Coastal Plains,coastal_plains,all_india_network,11.21,79.36,30.0,,,,0,1,1,20200101,20260925
55CA70BC,TARAMANI,TAMIL_NADU,CHENNAI,Coastal Plains,coastal_plains,all_india_network,12.9833,80.2333,30.0,,,,0,1,1,20200101,20260925
55CA7E6E,ANNA_UNIVERSITY,TAMIL_NADU,CHENNAI,Coastal Plains,coastal_plains,all_india_network,13.0112,80.2355,30.0,,,,0,1,1,20200101,20260925
55CA8038,LMOIS__KOLAPAKKAM,TAMIL_NADU,KANCHIPURAM,Coastal Plains,coastal_plains,all_india_network,13.0,80.1333,30.0,,,,0,1,1,20200101,20260925
55CA8EEA,CHEMBARAMBAKKAM,TAMIL_NADU,KANCHIPURAM,Coastal Plains,coastal_plains,all_india_network,13.0,80.0833,30.0,,,,0,1,1,20200101,20260925
55CA934E,PUZHAL,TAMIL_NADU,TIRUVALLUR,Coastal Plains,coastal_plains,all_india_network,13.15,80.1833,30.0,,,,0,1,1,20200101,20260925
55CA9D9C,HINDUSTAN_UNIVERSITY,TAMIL_NADU,KANCHIPURAM,Coastal Plains,coastal_plains,all_india_network,12.8013,80.2237,30.0,,,,0,1,1,20200101,20260925
55CAA6D4,YUPIA,ARUNACHAL_PRADESH,PAPUMPARE,Northeast Hills,northeast_hills,all_india_network,27.1389,93.7169,650.0,,,,0,1,1,20200101,20260925
55CAB5A2,SATHYABAMA__UNIVERSITY,TAMIL_NADU,KANCHIPURAM,Coastal Plains,coastal_plains,all_india_network,12.8667,80.2,30.0,,,,0,1,1,20200101,20260925
55CAE5DE,LENGPUI,MIZORAM,AIZAWL,Northeast Hills,northeast_hills,all_india_network,23.84,92.62,650.0,,,,0,1,1,20200101,20260925
55CAEB0C,BORDUMSA,ARUNACHAL_PRADESH,CHANGLANG,Northeast Hills,northeast_hills,all_india_network,27.515,95.8781,650.0,,,,0,1,1,20200101,20260925
55CB04D6,GOPAL_NAGAR,KARNATAKA,BANGALORE_URBAN,Deccan Plateau,deccan_plateau,all_india_network,12.89,77.51,550.0,,,,0,1,1,20200101,20260925
55CB490E,SOMPURA_(NICE),KARNATAKA,BANGALORE_URBAN,Deccan Plateau,deccan_plateau,all_india_network,12.8822,77.4953,550.0,,,,0,1,1,20200101,20260925
55CB5A78,MADHAVARA(NICE),KARNATAKA,BANGALORE_URBAN,Deccan Plateau,deccan_plateau,all_india_network,13.0428,77.4758,550.0,,,,0,1,1,20200101,20260925
55CBAAFC,RADHAPURAM,TAMIL_NADU,TIRUNELVELI,Coastal Plains,coastal_plains,all_india_network,8.2669,77.6689,30.0,,,,0,1,1,20200101,20260925
55CBC1C8,VEPPANTHATTAI,TAMIL_NADU,PERAMBALUR,Coastal Plains,coastal_plains,all_india_network,11.33,78.82,30.0,,,,0,1,1,20200101,20260925
55CBCF1A,KULITHALAI,TAMIL_NADU,KARUR,Coastal Plains,coastal_plains,all_india_network,10.94,78.42,30.0,,,,0,1,1,20200101,20260925
55CC1594,MUGAD,KARNATAKA,DHARWAD,Deccan Plateau,deccan_plateau,all_india_network,15.43,74.91,550.0,,,,0,1,1,20200101,20260925
55CC4B3A,RADDEWADGI,KARNATAKA,GULBARGA,Deccan Plateau,deccan_plateau,all_india_network,17.04,76.8,550.0,,,,0,1,1,20200101,20260925
55CCA8C8,MUNIRABAD,KARNATAKA,KOPPAL,Deccan Plateau,deccan_plateau,all_india_network,15.2975,76.3147,550.0,,,,0,1,1,20200101,20260925
55CCD08A,MALAVALLI,KARNATAKA,MANDYA,Deccan Plateau,deccan_plateau,all_india_network,12.3828,77.0589,550.0,,,,0,1,1,20200101,20260925
55CCE510,HUNSUR,KARNATAKA,MYSORE,Deccan Plateau,deccan_plateau,all_india_network,12.31,76.27,550.0,,,,0,1,1,20200101,20260925
55CD19BC,HESSARGHATTA,KARNATAKA,BANGALORE_RURAL,Deccan Plateau,deccan_plateau,all_india_network,13.56,77.05,550.0,,,,0,1,1,20200101,20260925
55CDE7EA,AIRPORT(CHAKKA),KERALA,THIRUVANANTHAPURAM,Coastal Plains,coastal_plains,all_india_network,8.467,76.95,30.0,,,,0,1,1,20200101,20260925
55CE0316,MEENANGADI,KERALA,WAYANAD,Coastal Plains,coastal_plains,all_india_network,11.66,76.16,30.0,,,,0,1,1,20200101,20260925
55CE1060,KANJIRAPUZHA,KERALA,PALAKKAD,Coastal Plains,coastal_plains,all_india_network,10.99,76.53,30.0,,,,0,1,1,20200101,20260925
55CE4ECE,PALLURUTHY,KERALA,ERNAKULAM,Coastal Plains,coastal_plains,all_india_network,9.9264,76.2621,30.0,,,,0,1,1,20200101,20260925
55CE5DB8,THENMALA,KERALA,KOLLAM,Coastal Plains,coastal_plains,all_india_network,8.95,77.06,30.0,,,,0,1,1,20200101,20260925
55CE66F0,VYANTHALA,KERALA,THRISSUR,Coastal Plains,coastal_plains,all_india_network,10.26,76.29,30.0,,,,0,1,1,20200101,20260925
55CEB098,SAVARDE(GOLWANE),MAHARASHTRA,RATNAGIRI,Deccan Plateau,deccan_plateau,all_india_network,17.23,73.29,550.0,,,,0,1,1,20200101,20260925
55CEBE4A,CHIPLUN,MAHARASHTRA,RATNAGIRI,Deccan Plateau,deccan_plateau,all_india_network,17.31,73.32,550.0,,,,0,1,1,20200101,20260925
55CF129A,VANI,MAHARASHTRA,NASHIK,Deccan Plateau,deccan_plateau,all_india_network,20.3333,73.8333,550.0,,,,0,1,1,20200101,20260925
55CF3476,CHINCHWAD_PUNE,MAHARASHTRA,PUNE,Deccan Plateau,deccan_plateau,all_india_network,18.6595,73.7987,550.0,,,,0,1,1,20200101,20260925
55CFCA20,WADGAONSHERI_PUNE,MAHARASHTRA,PUNE,Deccan Plateau,deccan_plateau,all_india_network,18.5482,73.9278,550.0,,,,0,1,1,20200101,20260925
55D00E32,SRINAGAR_ARG,UTTARAKHAND,PAURI_GARHWAL,Northern Himalayas,northern_himalayas,all_india_network,30.22,78.77,1600.0,,,,0,1,1,20200101,20260925
55D01D44,GANGOLIHAT,UTTARAKHAND,PITHORAGARH,Northern Himalayas,northern_himalayas,all_india_network,29.65,80.04,1600.0,,,,0,1,1,20200101,20260925
55D043EA,MTI_PASHAN_PUNE,MAHARASHTRA,PUNE,Deccan Plateau,deccan_plateau,all_india_network,18.5383,73.8045,73.1,,,,0,1,1,20200101,20260925
55D06BD4,DHOLKA,GUJARAT,AHMEDABAD,Western Arid/Semi-Arid,western_arid_semi-arid,all_india_network,22.7359,72.4369,220.0,,,,0,1,1,20200101,20260925
55D07670,RANPUR,GUJARAT,BOTAD,Western Arid/Semi-Arid,western_arid_semi-arid,all_india_network,22.3604,71.7151,220.0,,,,0,1,1,20200101,20260925
55D086F4,JAFRABAD,GUJARAT,AMRELI,Western Arid/Semi-Arid,western_arid_semi-arid,all_india_network,20.86,71.3333,220.0,,,,0,1,1,20200101,20260925
55D0FEB6,MANSA_ARG,GUJARAT,GANDHINAGAR,Western Arid/Semi-Arid,western_arid_semi-arid,all_india_network,23.42,72.65,220.0,,,,0,1,1,20200101,20260925
55D1AC30,DAMAN_ARG,DAMAN_AND_DIU,DAMAN,Western Arid/Semi-Arid,western_arid_semi-arid,all_india_network,20.43,72.84,220.0,,,,0,1,1,20200101,20260925
55D20514,HARINAGAR,ASSAM,KARIMGANJ,Northeast Hills,northeast_hills,all_india_network,24.56,92.46,650.0,,,,0,1,1,20200101,20260925
55D20BC6,KHETRI,ASSAM,KAMRUP_METROPOLITAN,Northeast Hills,northeast_hills,all_india_network,26.1158,92.0838,650.0,,,,0,1,1,20200101,20260925
55D23E5C,RAIKOT,PUNJAB,LUDHIANA,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.65,75.55,160.0,,,,0,1,1,20200101,20260925
55D2461E,JAGRAON,PUNJAB,LUDHIANA,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.75,75.49,160.0,,,,0,1,1,20200101,20260925
55D260F2,ADAMPUR_JLD,PUNJAB,JALANDHAR,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,31.44,75.71,160.0,,,,0,1,1,20200101,20260925
55D26E20,NAKODAR,PUNJAB,JALANDHAR,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,31.12,75.56,160.0,,,,0,1,1,20200101,20260925
55D27384,AJNALA_AMRITSAR,PUNJAB,AMRITSAR,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,31.8669,74.8669,160.0,,,,0,1,1,20200101,20260925
55D29076,DASUYA,PUNJAB,HOSHIARPUR,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,31.81,75.65,160.0,,,,0,1,1,20200101,20260925
55D2A5EC,AUR_PHAMBRA_ROAD,PUNJAB,SHAHID_BHAGAT_SINGH_NAGAR,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,31.06,75.99,160.0,,,,0,1,1,20200101,20260925
