"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","ED1","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"42361099999","2022-01-04T15:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,9,9","+0150,1","+0113,1","10177,1",,"0,1,02,1","0,1,02,1",,"04,1,+00900,1,08,1",,,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00900,1,99,9,99,9",,,,"9,9,999,9,-009,1","10,1","SYN06442361 31594 40000 10150 20113 40177 71000 84100 333 59009 84830=",
"42361099999","2022-01-04T18:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","03000,1,9,N","001000,1,9,9","+0136,1","+0093,1","10178,1",,"0,1,02,1","0,1,02,1",,"03,1,+00900,1,08,1","06,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00900,1,99,9,99,9",,,,"9,9,999,9,-008,1","10,1","SYN07042361 31594 60000 10136 20093 40178 71000 83130 333 59008 83830 86360=",
"42361099999","2022-01-04T21:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0112,1","+0092,1","10166,1",,"2,1,02,1","1,1,02,1",,,,,,,,,,,"9,9,999,9,-015,1","46,1","SYN05242361 31993 00000 10112 20092 40166 74621 333 59015=",
"42361099999","2022-01-05T00:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","03000,1,9,N","000500,1,9,9","+0106,1","+0098,1","10165,1",,"4,1,02,1","2,1,02,1",,"03,1,+00750,1,06,1","07,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00750,1,99,9,99,9",,,,"9,9,999,9,-013,1","44,1","SYN07042361 31593 70000 10106 20098 40165 74442 83530 333 59013 83625 87360=",
"42361099999","2022-01-05T03:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","03000,1,9,N","000500,1,9,9","+0130,1","+0111,1","10177,1",,"4,1,02,1","2,1,02,1",,"04,1,+00600,1,06,1","06,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00600,1,99,9,99,9","240,N,+0095,1",,,"9,9,999,9,-021,1","44,1","SYN08642361 31593 70000 10130 20111 40177 74442 84530 333 20095 59021 84620 86360 555 10000=",
"42361099999","2022-01-05T06:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","03000,1,C,N","001000,1,9,9","+0210,1","+0099,1","10177,1",,"4,1,02,1","2,1,02,1",,"02,1,+00600,1,06,1","04,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-012,1","05,1","SYN07042361 31594 60000 10210 20099 40177 70542 82630 333 59012 82620 84360=",
"42361099999","2022-01-05T09:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","03000,1,9,N","001000,1,9,9","+0192,1","+0140,1","10144,1",,"2,1,02,1","2,1,02,1",,"03,1,+00540,1,06,1","07,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00540,1,99,9,99,9",,,,"9,9,999,9,-016,1","05,1","SYN07042361 31594 70000 10192 20140 40144 70522 83530 333 59016 83618 87360=",
"42361099999","2022-01-05T12:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","360,1,N,0010,1","02400,1,9,N","000500,1,9,9","+0170,1","+0131,1","10148,1","09,0000,2,1","5,1,02,1","2,1,02,1",,"04,1,+00540,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00540,1,99,9,99,9",,,,"9,9,999,9,-012,1","50,1","SYN08242361 21593 83602 10170 20131 40148 75052 84520 333 10223 59012 6990/ 84618 88458=",
"42361099999","2022-01-05T15:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","03000,1,9,N","000500,1,9,9","+0152,1","+0138,1","10164,1","12,0030,3,1","9,1,02,1","6,1,02,1",,"04,1,+00600,1,06,1","07,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-012,1","10,1","SYN07642361 21593 70000 10152 20138 40164 71096 84530 333 59012 6003/ 84620 87360=",
"42361099999","2022-01-05T18:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","03000,1,9,N","000200,1,9,9","+0150,1","+0136,1","10157,1","15,0030,3,1","9,1,02,1","6,1,02,1",,"04,1,+00600,1,06,1","07,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-020,1","46,1","SYN07642361 21592 70000 10150 20136 40157 74696 84530 333 59020 6003/ 84620 87360=",
"42361099999","2022-01-05T21:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","02400,1,9,N","000200,1,9,9","+0148,1","+0134,1","10154,1","18,0030,3,1","6,1,02,1","2,1,02,1",,"04,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-009,1","44,1","SYN07642361 21592 80000 10148 20134 40154 74462 8452/ 333 59009 6003/ 84620 88458=",
"42361099999","2022-01-06T00:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","050,1,N,0010,1","02400,1,9,N","000200,1,9,9","+0140,1","+0125,1","10157,1","21,0030,3,1","6,1,02,1","4,1,02,1",,"04,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-006,1","20,1","SYN07642361 21592 80502 10140 20125 40157 72064 8452/ 333 59006 6003/ 84620 88458=",
