"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43302599999","2022-01-01T11:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00549,1,C,N","008000,1,9,9","+0260,1","+0180,1","99999,9","04,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,,,"MET064METAR VOBG 011100Z 09008KT 8000 SCT012 SCT018 26/18 Q1017 NOSIG=",
"43302599999","2022-01-01T11:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00549,1,C,N","008000,1,9,9","+0250,1","+0180,1","99999,9","04,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,,,"MET064METAR VOBG 011130Z 09008KT 8000 SCT012 SCT018 25/18 Q1017 NOSIG=",
"43302599999","2022-01-01T12:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00549,1,C,N","008000,1,9,9","+0240,1","+0160,1","99999,9","04,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,,,"MET064METAR VOBG 011200Z 09008KT 8000 SCT012 SCT018 24/16 Q1017 NOSIG=",
"43302599999","2022-01-01T13:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00366,1,C,N","006000,1,9,9","+0220,1","+0170,1","99999,9","02,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10180,1,99999,9",,,,"MET064METAR VOBG 011300Z 09008KT 6000 FEW010 SCT012 22/17 Q1018 NOSIG=",
"43302599999","2022-01-01T14:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00366,1,C,N","006000,1,9,9","+0210,1","+0180,1","99999,9","02,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10190,1,99999,9",,,,"MET064METAR VOBG 011400Z 09008KT 6000 FEW010 SCT012 21/18 Q1019 NOSIG=",
"43302599999","2022-01-01T15:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00366,1,C,N","006000,1,9,9","+0210,1","+0180,1","99999,9","02,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10200,1,99999,9",,,,"MET064METAR VOBG 011500Z 09008KT 6000 FEW010 SCT012 21/18 Q1020 NOSIG=",
"43302599999","2022-01-01T16:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00366,1,C,N","006000,1,9,9","+0200,1","+0180,1","99999,9","02,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10210,1,99999,9",,,,"MET064METAR VOBG 011600Z 09008KT 6000 FEW010 SCT012 20/18 Q1021 NOSIG=",
"43302599999","2022-01-01T17:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","99999,9,9,N","006000,1,9,9","+0200,1","+0180,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10200,1,99999,9",,,,"MET057METAR VOBG 011700Z 09008KT 6000 SCT012 20/18 Q1020 NOSIG=",
"43302599999","2022-01-01T18:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0062,1","00366,1,C,N","006000,1,9,9","+0200,1","+0190,1","99999,9","02,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10200,1,99999,9",,,,"MET064METAR VOBG 011800Z 09012KT 6000 FEW010 SCT012 20/19 Q1020 NOSIG=",
"43302599999","2022-01-02T00:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","99999,9,9,N","006000,1,9,9","+0180,1","+0180,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10180,1,99999,9",,,,"MET057METAR VOBG 020000Z 09008KT 6000 SCT012 18/18 Q1018 NOSIG=",
