"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"43125099999","2022-02-01T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","360,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0282,1","+0086,1","10081,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0312,1",,"99999,9,09362,1","9,9,999,9,+000,1",,"SYN06443125 32997 13602 10282 20086 39362 40081 80000 333 10312 58000=",
"43125099999","2022-02-03T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0210,1","+0155,1","10133,1",,,,,,,,,,"240,M,+0320,1","240,N,+0158,1","99999,9,09390,1","9,9,999,9,-010,1",,"SYN07443125 32997 01802 10210 20155 39390 40133 333 10320 20158 59010 555 10000=",
"43125099999","2022-02-03T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","180,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0294,1","+0110,1","10065,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0316,1",,"99999,9,09350,1","9,9,999,9,-012,1",,"SYN06443125 32997 11802 10294 20110 39350 40065 80000 333 10316 59012=",
"43125099999","2022-02-04T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0182,1","+0112,1","10136,1",,,,,,,,,,"240,M,+0316,1","240,N,+0146,1","99999,9,09390,1","9,9,999,9,+000,1",,"SYN07443125 32997 03202 10182 20112 39390 40136 333 10316 20146 58000 555 10000=",
"43125099999","2022-02-04T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0250,1","+0050,1","10089,1",,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0278,1",,"99999,9,09360,1","9,9,999,9,+010,1",,"SYN06443125 32997 12302 10250 20050 39360 40089 80001 333 10278 58010=","Q01    003SCCGA1"
"43125099999","2022-02-05T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0196,1","+0041,1","10137,1",,,,,,,,,,"240,M,+0278,1","240,N,+0100,1","99999,9,09392,1","9,9,999,9,+002,1",,"SYN07443125 32997 01402 10196 20041 39392 40137 333 10278 20100 58002 555 10000=",
"43125099999","2022-02-06T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0280,1","+0083,1","10103,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0294,1",,"99999,9,09380,1","9,9,999,9,+024,1",,"SYN06443125 32997 10502 10280 20083 39380 40103 80000 333 10294 58024=",
"43125099999","2022-02-07T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0286,1","+0150,1","10105,1",,,,,"02,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,02,2,99,9,99999,9,99,9,99,9","240,M,+0320,1",,"99999,9,09384,1","9,9,999,9,+004,1",,"SYN06443125 32997 10502 10286 20150 39384 40105 82000 333 10320 58004=",
"43125099999","2022-02-08T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0294,1","+0161,1","10088,1",,,,,"02,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,02,2,99,9,99999,9,99,9,99,9","240,M,+0310,1",,"99999,9,09370,1","9,9,999,9,-014,1",,"SYN06443125 32997 12302 10294 20161 39370 40088 82000 333 10310 59014=",
"43125099999","2022-02-09T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0282,1","+0153,1","10093,1",,,,,"02,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,02,2,99,9,99999,9,99,9,99,9","240,M,+0305,1",,"99999,9,09372,1","9,9,999,9,+002,1",,"SYN06443125 32997 12302 10282 20153 39372 40093 82000 333 10305 58002=",
