"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","ED1","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","REM","EQD"
"42189099999","2022-01-04T21:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00750,1,C,N","001000,1,9,9","+0146,1","+0124,1","10182,1",,"2,1,02,1","2,1,02,1",,"05,1,+00750,1,06,1","07,1,+03000,1,04,1",,,"9,AGL   ,+99999,+99999","07,99,1,05,1,99,9,00750,1,99,9,99,9",,,,"9,9,999,9,+004,1","10,1",,,"SYN07042189 31594 70000 10146 20124 40182 71022 85520 333 58004 85625 87460=",
"42189099999","2022-01-05T00:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00750,1,C,N","001000,1,9,9","+0140,1","+0125,1","10176,1",,"2,1,02,1","2,1,02,1",,"05,1,+00750,1,06,1","07,1,+03000,1,04,1",,,"9,AGL   ,+99999,+99999","07,99,1,05,1,99,9,00750,1,99,9,99,9",,,,"9,9,999,9,+008,1","10,1",,,"SYN07042189 31594 70000 10140 20125 40176 71022 85520 333 58008 85625 87460=",
"42189099999","2022-01-05T03:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00030,1,W,N","000050,1,9,9","+0124,1","+0120,1","10186,1",,"4,1,02,1","2,1,02,1",,"09,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0216,1","240,N,+0108,1",,"9,9,999,9,-004,1","47,1",,,"SYN08042189 31/91 90000 10124 20120 40186 74742 89/// 333 10216 20108 59004 555 10000=",
"42189099999","2022-01-05T06:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00750,1,C,N","000500,1,9,9","+0154,1","+0129,1","10190,1",,"4,1,02,1","2,1,02,1",,"05,1,+00750,1,06,1","08,1,+03000,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00750,1,99,9,99,9",,,,"9,9,999,9,+002,1","41,1",,,"SYN07042189 31593 80000 10154 20129 40190 74142 8551/ 333 58002 85625 88460=",
"42189099999","2022-01-05T09:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","001000,1,9,9","+0162,1","+0137,1","10172,1","06,0001,3,1","4,1,02,1","2,1,02,1",,"05,1,+00600,1,06,1","08,1,+03000,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,+012,1","60,1",,,"SYN07642189 21594 80000 10162 20137 40172 76042 8552/ 333 58012 6991/ 85620 88460=",
"42189099999","2022-01-05T12:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","001000,1,9,9","+0152,1","+0145,1","10171,1","09,0010,3,1","6,1,02,1","2,1,02,1",,"05,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,+020,1","63,1",,,"SYN08242189 21594 80000 10152 20145 40171 76362 8552/ 333 10164 58020 6001/ 85620 88458=",
"42189099999","2022-01-05T15:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","001000,1,9,9","+0146,1","+0143,1","10172,1","12,0040,3,1","6,1,02,1","2,1,02,1",,"05,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-004,1","10,1",,,"SYN07642189 21594 80000 10146 20143 40172 71062 8552/ 333 59004 6004/ 85620 88458=",
"42189099999","2022-01-05T18:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","001000,1,9,9","+0140,1","+0136,1","10170,1","15,0050,3,1","6,1,02,1","2,1,02,1",,"06,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-007,1","60,1",,,"SYN07642189 21594 80000 10140 20136 40170 76062 8652/ 333 59007 6005/ 86620 88458=",
"42189099999","2022-01-05T21:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","001000,1,9,9","+0138,1","+0138,1","10172,1","18,0080,3,1","6,1,02,1","6,1,02,1",,"06,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-010,1","60,1",,,"SYN07642189 21594 80000 10138 20138 40172 76066 8652/ 333 59010 6008/ 86620 88458=",
"42189099999","2022-01-06T00:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","001000,1,9,9","+0134,1","+0134,1","10168,1","21,0090,3,1","6,1,02,1","2,1,02,1",,"05,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-008,1","10,1",,,"SYN07642189 21594 80000 10134 20134 40168 71062 8552/ 333 59008 6009/ 85620 88458=",
"42189099999","2022-01-06T03:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","140,1,N,0005,1","02400,1,9,N","001000,1,9,9","+0136,1","+0132,1","10191,1","24,0090,3,1","2,1,02,1","2,1,02,1",,"04,1,+00600,1,06,1","07,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00600,1,99,9,99,9","240,M,+0164,1","240,N,+0120,1",,"9,9,999,9,+006,1","10,1",,,"SYN10442189 21594 71401 10136 20132 40191 71022 84520 333 10164 20120 58006 6009/ 84620 87458 555 00086 10009=",
