variant,score_col,threshold,min_precision,min_f1,mean_f1,max_fault_to_weather
full_residual_consensus,i9_weather_consensus_score,0.15,0.7547000895255148,0.7575757575757576,0.8024059692401401,0.07692307692307693
full_residual_consensus,i9_weather_consensus_score,0.17,0.7833800186741363,0.751269035532995,0.8072188799064152,0.0673076923076923
full_residual_consensus,i9_weather_consensus_score,0.19,0.8073217726396917,0.751269035532995,0.8141483848517932,0.0673076923076923
full_residual_consensus,i9_weather_consensus_score,0.21,0.8354935194416749,0.7357512953367875,0.814570743617221,0.057692307692307696
full_residual_consensus,i9_weather_consensus_score,0.23,0.8504577822990844,0.7357512953367875,0.8183066821511524,0.04326923076923077
full_residual_consensus,i9_weather_consensus_score,0.25,0.8661825726141079,0.7157894736842105,0.8124401913875599,0.038461538461538464
full_residual_consensus,i9_weather_consensus_score,0.27,0.8816067653276956,0.6951871657754011,0.8060872607326703,0.038461538461538464
full_residual_consensus,i9_weather_consensus_score,0.29000000000000004,0.8954741379310345,0.6881720430107527,0.8054963491011564,0.038461538461538464
full_residual_consensus,i9_weather_consensus_score,0.31000000000000005,0.9135254988913526,0.6739130434782609,0.8011818738518065,0.019230769230769232
full_residual_consensus,i9_weather_consensus_score,0.32999999999999996,0.922384701912261,0.6593406593406593,0.7950505793865612,0.009615384615384616
full_residual_consensus,i9_weather_consensus_score,0.35,0.9335624284077892,0.6444444444444445,0.7890034364261169,0.009615384615384616
full_residual_consensus,i9_weather_consensus_score,0.37,0.9387283236994219,0.6368715083798883,0.7856394365835,0.009615384615384616
full_residual_consensus,i9_weather_consensus_score,0.39,0.9450934579439252,0.6057142857142858,0.7707576633892423,0.009615384615384616
full_residual_consensus,i9_weather_consensus_score,0.41000000000000003,0.9482352941176471,0.5977011494252874,0.766639315281419,0.004807692307692308
full_residual_consensus,i9_weather_consensus_score,0.43000000000000005,0.954653937947494,0.5895953757225434,0.7623605166163856,0.004807692307692308
full_residual_consensus,i9_weather_consensus_score,0.44999999999999996,0.9602409638554217,0.5730994152046783,0.7545473588060972,0.004807692307692308
full_residual_consensus,i9_weather_consensus_score,0.47,0.9683313032886723,0.5647058823529412,0.7516563650253489,0.0
full_residual_consensus,i9_weather_consensus_score,0.49,0.9690210656753407,0.5562130177514792,0.7435826993519301,0.0
full_residual_consensus,i9_weather_consensus_score,0.51,0.9687108886107635,0.5476190476190477,0.7367281840966051,0.0
full_residual_consensus,i9_weather_consensus_score,0.53,0.9734177215189873,0.5476190476190477,0.7362268419093434,0.0
full_residual_consensus,i9_weather_consensus_score,0.55,0.9732142857142857,0.5389221556886228,0.7299318080796765,0.0
full_residual_consensus,i9_weather_consensus_score,0.5700000000000001,0.9726918075422627,0.5389221556886228,0.7250030997687937,0.0
full_residual_consensus,i9_weather_consensus_score,0.5900000000000001,0.9762532981530343,0.5301204819277109,0.7187696217118629,0.0
full_residual_consensus,i9_weather_consensus_score,0.61,0.9783783783783784,0.5121951219512195,0.7049506297914808,0.0
full_residual_consensus,i9_weather_consensus_score,0.63,0.9794238683127572,0.49382716049382713,0.6926064641420446,0.0
full_residual_consensus,i9_weather_consensus_score,0.65,0.9818435754189944,0.484472049689441,0.6846526390675021,0.0
full_residual_consensus,i9_weather_consensus_score,0.67,0.9843081312410842,0.46540880503144655,0.6710779730366889,0.0
full_residual_consensus,i9_weather_consensus_score,0.6900000000000001,0.9853587115666179,0.46540880503144655,0.6652236827213789,0.0
full_residual_consensus,i9_weather_consensus_score,0.7100000000000001,0.9851411589895989,0.45569620253164556,0.656696742921709,0.0
full_residual_consensus,i9_weather_consensus_score,0.7300000000000001,0.9892307692307692,0.40522875816993464,0.6248074191374953,0.0
full_residual_consensus,i9_weather_consensus_score,0.75,0.9889589905362776,0.3841059602649007,0.6081113742930343,0.0
full_residual_consensus,i9_weather_consensus_score,0.77,0.9902597402597403,0.3624161073825503,0.5908789737718662,0.0
full_residual_consensus,i9_weather_consensus_score,0.79,0.9899665551839465,0.35135135135135137,0.5781229904275451,0.0
full_residual_consensus,i9_weather_consensus_score,0.81,0.9948186528497409,0.3401360544217687,0.5667622420869174,0.0
full_residual_consensus,i9_weather_consensus_score,0.8300000000000001,0.9946714031971581,0.3401360544217687,0.560040172057681,0.0
full_residual_consensus,i9_weather_consensus_score,0.8500000000000001,0.9944649446494465,0.31724137931034485,0.5395394175703667,0.0
full_residual_consensus,i9_weather_consensus_score,0.87,0.9960629921259843,0.3055555555555556,0.5191789363585164,0.0
full_residual_consensus,i9_weather_consensus_score,0.89,0.9979338842975206,0.2571428571428571,0.48450363196125906,0.0
full_residual_consensus,i9_weather_consensus_score,0.91,0.9977477477477478,0.2571428571428571,0.46494196767545287,0.0
full_residual_consensus,i9_weather_consensus_score,0.93,0.9975786924939467,0.2318840579710145,0.43631527937430975,0.0
full_residual_consensus,i9_weather_consensus_score,0.9500000000000001,1.0,0.20588235294117646,0.4050994498518832,0.0
full_residual_consensus,i9_weather_consensus_score,0.97,1.0,0.13740458015267176,0.3430165045401763,0.0
l2_calibrated_stack,i9_weather_stack_score,0.03,0.5412371134020618,0.6645569620253164,0.7429580926631436,0.125
l2_calibrated_stack,i9_weather_stack_score,0.05,0.7006802721088435,0.7657992565055762,0.811398355988157,0.11057692307692307
l2_calibrated_stack,i9_weather_stack_score,0.07,0.7692307692307693,0.7936507936507936,0.8354676944755274,0.09134615384615384
l2_calibrated_stack,i9_weather_stack_score,0.09,0.7950819672131147,0.7950819672131147,0.8426338218028439,0.07731958762886598
l2_calibrated_stack,i9_weather_stack_score,0.11,0.8220338983050848,0.8083333333333333,0.8549995522120724,0.06701030927835051
l2_calibrated_stack,i9_weather_stack_score,0.13,0.8290598290598291,0.8117154811715481,0.8597622959003077,0.06701030927835051
l2_calibrated_stack,i9_weather_stack_score,0.15,0.8558558558558559,0.8154506437768241,0.8635595639821961,0.052884615384615384
l2_calibrated_stack,i9_weather_stack_score,0.17,0.8778947368421053,0.8245614035087719,0.8697683594614622,0.04807692307692308
l2_calibrated_stack,i9_weather_stack_score,0.19,0.8853503184713376,0.8230088495575221,0.871008557010166,0.04326923076923077
l2_calibrated_stack,i9_weather_stack_score,0.21,0.8900747065101388,0.8177777777777778,0.8696623695518724,0.041237113402061855
l2_calibrated_stack,i9_weather_stack_score,0.23,0.896774193548387,0.8161434977578476,0.8706341448855793,0.041237113402061855
l2_calibrated_stack,i9_weather_stack_score,0.25,0.9006479481641468,0.8235294117647058,0.8753555897066998,0.038461538461538464
l2_calibrated_stack,i9_weather_stack_score,0.27,0.9084967320261438,0.821917808219178,0.8766205456506275,0.038461538461538464
l2_calibrated_stack,i9_weather_stack_score,0.29000000000000004,0.9123767798466593,0.8294930875576036,0.8811519189187794,0.03365384615384615
l2_calibrated_stack,i9_weather_stack_score,0.31000000000000005,0.9153846153846154,0.8333333333333334,0.8838567956627408,0.028846153846153848
l2_calibrated_stack,i9_weather_stack_score,0.32999999999999996,0.918232044198895,0.8372093023255814,0.8859837287780887,0.028846153846153848
l2_calibrated_stack,i9_weather_stack_score,0.35,0.9192477876106194,0.8372093023255814,0.8862467445786602,0.028846153846153848
l2_calibrated_stack,i9_weather_stack_score,0.37,0.9233333333333333,0.8317757009345794,0.8845849739867482,0.02403846153846154
l2_calibrated_stack,i9_weather_stack_score,0.39,0.9316143497757847,0.8317757009345794,0.8867093802123323,0.02403846153846154
l2_calibrated_stack,i9_weather_stack_score,0.41000000000000003,0.9337078651685393,0.8262910798122066,0.8845011836950993,0.02403846153846154
l2_calibrated_stack,i9_weather_stack_score,0.43000000000000005,0.9358108108108109,0.8301886792452831,0.8869853106618237,0.02403846153846154
l2_calibrated_stack,i9_weather_stack_score,0.44999999999999996,0.9379232505643341,0.8301886792452831,0.8875218552565245,0.019230769230769232
l2_calibrated_stack,i9_weather_stack_score,0.47,0.9411098527746319,0.8301886792452831,0.8883289637684274,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.49,0.944254835039818,0.8301886792452831,0.8888386318600845,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.51,0.9474285714285714,0.8301886792452831,0.8893506325288201,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.53,0.948512585812357,0.8301886792452831,0.8896221015001458,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.55,0.948512585812357,0.8301886792452831,0.8896221015001458,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.5700000000000001,0.950517836593786,0.8246445497630331,0.8864898983028713,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.5900000000000001,0.9504036908881199,0.8246445497630331,0.8858854932723212,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.61,0.9526011560693641,0.8246445497630331,0.8864304451922185,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.63,0.9526011560693641,0.8133971291866029,0.8808067349040034,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.65,0.9525462962962963,0.8076923076923077,0.8776515654753997,0.014423076923076924
l2_calibrated_stack,i9_weather_stack_score,0.67,0.9558139534883721,0.8019323671497585,0.875288168571994,0.010309278350515464
l2_calibrated_stack,i9_weather_stack_score,0.6900000000000001,0.960233918128655,0.8,0.8751157407407408,0.009615384615384616
l2_calibrated_stack,i9_weather_stack_score,0.7100000000000001,0.960233918128655,0.7941176470588235,0.8721745642701525,0.009615384615384616
l2_calibrated_stack,i9_weather_stack_score,0.7300000000000001,0.9624413145539906,0.7941176470588235,0.8724211423699915,0.009615384615384616
l2_calibrated_stack,i9_weather_stack_score,0.75,0.9623529411764706,0.7941176470588235,0.8718121607319654,0.009615384615384616
l2_calibrated_stack,i9_weather_stack_score,0.77,0.9645390070921985,0.7941176470588235,0.8717534134072478,0.009615384615384616
l2_calibrated_stack,i9_weather_stack_score,0.79,0.9656804733727811,0.7941176470588235,0.8720297199205642,0.009615384615384616
l2_calibrated_stack,i9_weather_stack_score,0.81,0.9667063020214031,0.7920792079207921,0.8703686588028698,0.004807692307692308
l2_calibrated_stack,i9_weather_stack_score,0.8300000000000001,0.9665871121718377,0.7920792079207921,0.869446968074949,0.004807692307692308
l2_calibrated_stack,i9_weather_stack_score,0.8500000000000001,0.9676646706586827,0.7860696517412935,0.8661027415615132,0.0
l2_calibrated_stack,i9_weather_stack_score,0.87,0.9675480769230769,0.78,0.8621407624633431,0.0
l2_calibrated_stack,i9_weather_stack_score,0.89,0.9721212121212122,0.7676767676767676,0.8561587607524004,0.0
l2_calibrated_stack,i9_weather_stack_score,0.91,0.97539975399754,0.7614213197969543,0.851054669388394,0.0
l2_calibrated_stack,i9_weather_stack_score,0.93,0.9788557213930348,0.7357512953367875,0.8371660471913513,0.0
l2_calibrated_stack,i9_weather_stack_score,0.9500000000000001,0.9823232323232324,0.6951871657754011,0.8148608501549678,0.0
l2_calibrated_stack,i9_weather_stack_score,0.97,0.9857697283311773,0.6739130434782609,0.7998969834645253,0.0
