variant,score_col,threshold,min_precision,max_false_alarm,min_point_f1,mean_point_f1,min_event_f1,mean_event_f1,min_event_recall
full_residual_consensus,i9_fault_consensus_score,0.19866666666666666,0.22167487684729065,0.08735578448232682,0.22670025188916876,0.23691334433538896,0.208955223880597,0.22692659153213524,0.7
full_residual_consensus,i9_fault_consensus_score,0.21844444444444444,0.26666666666666666,0.07373148781994557,0.24512534818941503,0.24871652024855367,0.21052631578947367,0.2437246963562753,0.6
full_residual_consensus,i9_fault_consensus_score,0.23822222222222222,0.2986111111111111,0.06171004958843271,0.25443786982248523,0.2554240631163708,0.2181818181818182,0.2656126482213439,0.6
full_residual_consensus,i9_fault_consensus_score,0.258,0.35,0.05049004057235403,0.26440677966101694,0.26596135161394796,0.24,0.2982178217821782,0.6
full_residual_consensus,i9_fault_consensus_score,0.2777777777777778,0.38235294117647056,0.042936288088642666,0.2578397212543554,0.26067661738393444,0.25531914893617025,0.32765957446808514,0.6
full_residual_consensus,i9_fault_consensus_score,0.2975555555555556,0.41935483870967744,0.04155124653739613,0.2491103202846975,0.260443661884509,0.2608695652173913,0.34994697773064687,0.6
full_residual_consensus,i9_fault_consensus_score,0.31733333333333336,0.4418604651162791,0.03739612188365651,0.2536231884057971,0.26252587991718423,0.27906976744186046,0.3763769889840881,0.6
full_residual_consensus,i9_fault_consensus_score,0.33711111111111114,0.4691358024691358,0.03462603878116344,0.25092250922509224,0.2636430727943643,0.2926829268292683,0.39634146341463417,0.6
full_residual_consensus,i9_fault_consensus_score,0.3568888888888889,0.5066666666666667,0.0332409972299169,0.2527881040892193,0.26765799256505574,0.3,0.41470588235294126,0.6
full_residual_consensus,i9_fault_consensus_score,0.3766666666666667,0.5538461538461539,0.03462603878116344,0.25384615384615383,0.2659192159192159,0.2926829268292683,0.42759146341463417,0.6
full_residual_consensus,i9_fault_consensus_score,0.3964444444444445,0.5645161290322581,0.03185595567867037,0.25,0.26171875,0.3076923076923077,0.4489281210592686,0.6
full_residual_consensus,i9_fault_consensus_score,0.41622222222222227,0.5892857142857143,0.02770083102493075,0.248,0.256,0.33333333333333337,0.47175141242937857,0.6
full_residual_consensus,i9_fault_consensus_score,0.43600000000000005,0.6037735849056604,0.026315789473684216,0.22857142857142856,0.2438403701561596,0.29411764705882354,0.4628482972136223,0.5
full_residual_consensus,i9_fault_consensus_score,0.45577777777777784,0.64,0.026315789473684216,0.2157676348547718,0.23903135841099246,0.24242424242424243,0.4545454545454546,0.4
full_residual_consensus,i9_fault_consensus_score,0.4755555555555556,0.6521739130434783,0.026315789473684216,0.2157676348547718,0.2328838174273859,0.24242424242424243,0.4481351981351981,0.4
full_residual_consensus,i9_fault_consensus_score,0.4953333333333334,0.6923076923076923,0.026315789473684216,0.20920502092050208,0.2204823387864313,0.24242424242424243,0.4681508967223253,0.4
