station_id,station_name,state,latitude,longitude,elevation_m,wigos_id,wmo_id,icao,network_type,primary_provider,is_reference_only
55C9C43C,LOWER_KOTHAIYAR,TAMIL_NADU,8.5,77.3,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C9CAEE,SATTANKULAM,TAMIL_NADU,8.4333,77.9,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C9D74A,KAYATHAR,TAMIL_NADU,8.95,77.7667,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C9D998,VRIDHA_CHALAM,TAMIL_NADU,11.51,79.33,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C9EC02,MELUR,TAMIL_NADU,10.03,78.33,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C9F1A6,KALLAKURICHI,TAMIL_NADU,11.7333,78.95,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55C9FF74,MANAPARAI,TAMIL_NADU,10.6,78.42,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA062C,THIRUKOILUR,TAMIL_NADU,11.95,79.1833,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA33B6,MANALMEDU,TAMIL_NADU,11.26,79.6,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA4BF4,NYAPIN,ARUNACHAL_PRADESH,27.7481,93.3892,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA5650,SENTHURAI,TAMIL_NADU,11.24,79.18,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA5882,JAYAMKONDAM,TAMIL_NADU,11.21,79.36,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA70BC,TARAMANI,TAMIL_NADU,12.9833,80.2333,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA7E6E,ANNA_UNIVERSITY,TAMIL_NADU,13.0112,80.2355,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA8038,LMOIS__KOLAPAKKAM,TAMIL_NADU,13.0,80.1333,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA8EEA,CHEMBARAMBAKKAM,TAMIL_NADU,13.0,80.0833,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA934E,PUZHAL,TAMIL_NADU,13.15,80.1833,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CA9D9C,HINDUSTAN_UNIVERSITY,TAMIL_NADU,12.8013,80.2237,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CAA6D4,YUPIA,ARUNACHAL_PRADESH,27.1389,93.7169,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CAB5A2,SATHYABAMA__UNIVERSITY,TAMIL_NADU,12.8667,80.2,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CAE5DE,LENGPUI,MIZORAM,23.84,92.62,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CAEB0C,BORDUMSA,ARUNACHAL_PRADESH,27.515,95.8781,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CB04D6,GOPAL_NAGAR,KARNATAKA,12.89,77.51,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CB490E,SOMPURA_(NICE),KARNATAKA,12.8822,77.4953,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CB5A78,MADHAVARA(NICE),KARNATAKA,13.0428,77.4758,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CBAAFC,RADHAPURAM,TAMIL_NADU,8.2669,77.6689,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CBC1C8,VEPPANTHATTAI,TAMIL_NADU,11.33,78.82,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CBCF1A,KULITHALAI,TAMIL_NADU,10.94,78.42,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CC1594,MUGAD,KARNATAKA,15.43,74.91,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CC4B3A,RADDEWADGI,KARNATAKA,17.04,76.8,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CCA8C8,MUNIRABAD,KARNATAKA,15.2975,76.3147,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CCD08A,MALAVALLI,KARNATAKA,12.3828,77.0589,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CCE510,HUNSUR,KARNATAKA,12.31,76.27,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CD19BC,HESSARGHATTA,KARNATAKA,13.56,77.05,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CDE7EA,AIRPORT(CHAKKA),KERALA,8.467,76.95,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CE0316,MEENANGADI,KERALA,11.66,76.16,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CE1060,KANJIRAPUZHA,KERALA,10.99,76.53,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CE4ECE,PALLURUTHY,KERALA,9.9264,76.2621,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CE5DB8,THENMALA,KERALA,8.95,77.06,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CE66F0,VYANTHALA,KERALA,10.26,76.29,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CEB098,SAVARDE(GOLWANE),MAHARASHTRA,17.23,73.29,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CEBE4A,CHIPLUN,MAHARASHTRA,17.31,73.32,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CF129A,VANI,MAHARASHTRA,20.3333,73.8333,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CF3476,CHINCHWAD_PUNE,MAHARASHTRA,18.6595,73.7987,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55CFCA20,WADGAONSHERI_PUNE,MAHARASHTRA,18.5482,73.9278,550.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
