candidate,threshold,k,n,eligible,tp,fp,fn,tn,precision,recall,f1,predicted_incidents,true_positive_predicted_incidents,false_positive_predicted_incidents,true_fault_episodes,detected_fault_episodes,incident_precision,episode_recall,incident_f1,false_alert_incidents_per_station_day,observed_station_days,median_detection_latency_minutes,p90_detection_latency_minutes,rows,stations,fault_rows,weather_rows,fault_auprc,brier_score,ece_10_bin,weather_rows_flagged_as_fault,weather_false_fault_rate,persistence_k,persistence_n
tcn,0.32,1,1,True,17,1,415,60168,0.9444444444444444,0.03935185185185185,0.07555555555555556,8,7,1,38,7,0.875,0.18421052631578946,0.30434782608695654,0.0004078303425774878,2452,0.0,456.0000000000004,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.32,2,3,True,10,3,422,60166,0.7692307692307693,0.023148148148148147,0.0449438202247191,2,2,0,38,2,1.0,0.05263157894736842,0.1,0.0,2452,600.0,1056.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.32,3,5,False,8,4,424,60165,0.6666666666666666,0.018518518518518517,0.036036036036036036,2,1,1,38,1,0.5,0.02631578947368421,0.05,0.0004078303425774878,2452,1200.0,1200.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.34,1,1,True,16,1,416,60168,0.9411764705882353,0.037037037037037035,0.07126948775055679,8,7,1,38,7,0.875,0.18421052631578946,0.30434782608695654,0.0004078303425774878,2452,0.0,468.0000000000004,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.34,2,3,True,9,3,423,60166,0.75,0.020833333333333332,0.040540540540540536,2,2,0,38,2,1.0,0.05263157894736842,0.1,0.0,2452,615.0,1083.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.34,3,5,False,7,4,425,60165,0.6363636363636364,0.016203703703703703,0.03160270880361174,2,1,1,38,1,0.5,0.02631578947368421,0.05,0.0004078303425774878,2452,1230.0,1230.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.36000000000000004,1,1,True,14,1,418,60168,0.9333333333333333,0.032407407407407406,0.06263982102908278,8,7,1,38,7,0.875,0.18421052631578946,0.30434782608695654,0.0004078303425774878,2452,0.0,492.00000000000045,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.36000000000000004,2,3,True,7,3,425,60166,0.7,0.016203703703703703,0.03167420814479638,2,2,0,38,2,1.0,0.05263157894736842,0.1,0.0,2452,645.0,1137.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.36000000000000004,3,5,False,5,4,427,60165,0.5555555555555556,0.011574074074074073,0.022675736961451247,2,1,1,38,1,0.5,0.02631578947368421,0.05,0.0004078303425774878,2452,1290.0,1290.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.38,1,1,True,12,0,420,60169,1.0,0.027777777777777776,0.05405405405405406,6,6,0,38,6,1.0,0.15789473684210525,0.2727272727272727,0.0,2452,0.0,630.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.38,2,3,True,6,2,426,60167,0.75,0.013888888888888888,0.02727272727272727,2,2,0,38,2,1.0,0.05263157894736842,0.1,0.0,2452,660.0,1164.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.38,3,5,True,4,2,428,60167,0.6666666666666666,0.009259259259259259,0.0182648401826484,1,1,0,38,1,1.0,0.02631578947368421,0.05128205128205127,0.0,2452,1320.0,1320.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.4,1,1,True,7,0,425,60169,1.0,0.016203703703703703,0.03189066059225512,6,6,0,38,6,1.0,0.15789473684210525,0.2727272727272727,0.0,2452,0.0,675.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.4,2,3,True,1,1,431,60168,0.5,0.0023148148148148147,0.004608294930875576,1,1,0,38,1,1.0,0.02631578947368421,0.05128205128205127,0.0,2452,30.0,30.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.4,3,5,False,0,0,432,60169,0.0,0.0,0.0,0,0,0,38,0,0.0,0.0,0.0,0.0,2452,,,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.42000000000000004,1,1,True,6,0,426,60169,1.0,0.013888888888888888,0.0273972602739726,5,5,0,38,5,1.0,0.13157894736842105,0.23255813953488372,0.0,2452,0.0,0.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.42000000000000004,2,3,True,1,1,431,60168,0.5,0.0023148148148148147,0.004608294930875576,1,1,0,38,1,1.0,0.02631578947368421,0.05128205128205127,0.0,2452,30.0,30.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.42000000000000004,3,5,False,0,0,432,60169,0.0,0.0,0.0,0,0,0,38,0,0.0,0.0,0.0,0.0,2452,,,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
