fault_threshold,weather_threshold,k,n,window_minutes,enable_drift_rescue,drift_rescue_threshold,drift_min_fault_probability,weather_agreement_threshold,weather_probability_floor,recovery_points,search_stage,fault_precision,fault_recall,fault_f1,false_alerts_per_station_day,weather_f1,weather_precision,weather_recall,fault_to_weather_rate,weather_to_fault_rate,normal_to_fault_row_rate,worst_domain_fault_precision,worst_domain_fault_f1,worst_domain_false_alerts_per_station_day,worst_domain_normal_to_fault_rate,worst_domain_weather_to_fault_rate,objective,policy_eligible
0.55,0.55,2,3,720,False,10.0,0.22000000000000003,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019890784181321747,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.028538436159683274,0.2619047619047619,-4.558563712505259,False
0.55,0.75,2,3,720,False,10.0,0.22000000000000003,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019890784181321747,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.028538436159683274,0.2619047619047619,-4.558563712505259,False
0.55,0.9,2,3,720,False,10.0,0.22000000000000003,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019890784181321747,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.028538436159683274,0.2619047619047619,-4.558563712505259,False
0.45,0.35,2,3,720,False,10.0,0.18000000000000002,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019905463726843018,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.02856200216807277,0.2619047619047619,-4.558799372589154,False
0.45,0.55,2,3,720,False,10.0,0.18000000000000002,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019905463726843018,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.02856200216807277,0.2619047619047619,-4.558799372589154,False
0.45,0.75,2,3,720,False,10.0,0.18000000000000002,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019905463726843018,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.02856200216807277,0.2619047619047619,-4.558799372589154,False
0.45,0.9,2,3,720,False,10.0,0.18000000000000002,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019905463726843018,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.02856200216807277,0.2619047619047619,-4.558799372589154,False
0.55,0.35,2,4,720,False,10.0,0.22000000000000003,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.02240098646545903,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.032002639392939625,0.2619047619047619,-4.564803377973917,False
0.55,0.55,2,4,720,False,10.0,0.22000000000000003,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.02240098646545903,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.032002639392939625,0.2619047619047619,-4.564803377973917,False
0.55,0.75,2,4,720,False,10.0,0.22000000000000003,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.02240098646545903,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.032002639392939625,0.2619047619047619,-4.564803377973917,False
