score,threshold,min_f1,mean_f1
cat_weather_mean,0.7200000000000001,0.02564102564102564,0.38806028174619644
cat_weather_mean,0.74,0.02564102564102564,0.37827880931329205
cat_weather_mean,0.76,0.017241379310344827,0.3319661096052703
cat_weather_mean,0.78,0.017316017316017316,0.3042413935271078
cat_weather_mean,0.8,0.017316017316017316,0.2838023088023088
cat_weather_mean,0.8200000000000001,0.008695652173913044,0.2596624067792739
cat_weather_mean,0.8400000000000001,0.0,0.2346185397867104
cat_weather_mean,0.86,0.0,0.20304494217537694
cat_weather_mean,0.88,0.0,0.16487455197132617
cat_weather_mean,0.9,0.0,0.13636363636363638
cat_weather_median,0.02,0.00956414810766498,0.018192605796358143
cat_weather_median,0.04,0.021759403170655892,0.03772042431905678
cat_weather_median,0.06,0.044261776794182736,0.0656248454314642
cat_weather_median,0.08,0.07986309184255562,0.10656981302948114
cat_weather_median,0.1,0.13245033112582782,0.15492861665323335
cat_weather_median,0.12000000000000001,0.19327731092436976,0.20914849692067106
cat_weather_median,0.13999999999999999,0.25040650406504067,0.2656167275287041
cat_weather_median,0.16,0.2894211576846307,0.3162282008798493
cat_weather_median,0.18,0.3176895306859206,0.37602852188389213
cat_weather_median,0.19999999999999998,0.3356258596973865,0.4238614470139013
cat_weather_median,0.22,0.3554868624420402,0.46633155641792895
cat_weather_median,0.24,0.3626760563380282,0.4986640611069649
cat_weather_median,0.26,0.3905325443786982,0.5318759293462866
cat_weather_median,0.28,0.38961038961038963,0.5556331362782975
cat_weather_median,0.30000000000000004,0.3875598086124402,0.5735784814436499
cat_weather_median,0.32,0.3697916666666667,0.5837982819618106
cat_weather_median,0.34,0.38333333333333336,0.609986366734833
cat_weather_median,0.36000000000000004,0.37790697674418605,0.6167210247683872
cat_weather_median,0.38,0.38461538461538464,0.6286680911680912
cat_weather_median,0.4,0.37770897832817335,0.6304723074519655
cat_weather_median,0.42000000000000004,0.36990595611285265,0.629116292829094
cat_weather_median,0.44,0.34527687296416937,0.6219806907598018
cat_weather_median,0.46,0.3287671232876712,0.6074707214593226
cat_weather_median,0.48000000000000004,0.2805755395683453,0.5981525890398792
cat_weather_median,0.5,0.23880597014925373,0.5811391002825136
cat_weather_median,0.52,0.22556390977443608,0.5721242444346158
cat_weather_median,0.54,0.20610687022900764,0.5604130484537609
cat_weather_median,0.56,0.17898832684824903,0.5392764439332173
cat_weather_median,0.5800000000000001,0.15079365079365079,0.5242917332844721
cat_weather_median,0.6,0.15079365079365079,0.5037301150028423
cat_weather_median,0.62,0.11382113821138211,0.47997525787131007
cat_weather_median,0.64,0.08298755186721991,0.45907865140040055
cat_weather_median,0.66,0.075,0.45316454218611385
cat_weather_median,0.68,0.058823529411764705,0.4138655462184874
cat_weather_median,0.7000000000000001,0.0423728813559322,0.3939571046526044
cat_weather_median,0.7200000000000001,0.02564102564102564,0.3659279999663669
cat_weather_median,0.74,0.02564102564102564,0.3423382173382173
cat_weather_median,0.76,0.017316017316017316,0.2965574108431251
cat_weather_median,0.78,0.008695652173913044,0.2729602791196994
cat_weather_median,0.8,0.008695652173913044,0.2688642828118651
cat_weather_median,0.8200000000000001,0.008695652173913044,0.2402769429417396
cat_weather_median,0.8400000000000001,0.008695652173913044,0.19877674660283354
cat_weather_median,0.86,0.0,0.17753877328345413
cat_weather_median,0.88,0.0,0.14814814814814814
cat_weather_median,0.9,0.0,0.13636363636363638
