seed,scope,domain,cluster,precision,recall,f1,auprc,weather_event_rows,weather_event_episodes,fault_to_weather_rate
9029,confirmation,dwd_all,dwd_south_upland,0.9563636363636364,0.8885135135135135,0.9211908931698775,0.9691630916359416,592,6,0.0
9029,confirmation,dwd_all,dwd_west_lowland,0.9301310043668122,0.9508928571428571,0.9403973509933775,0.9892792182512207,448,6,0.0196078431372549
9029,confirmation,dwd_holdout,dwd_east_continental,0.972972972972973,0.9642857142857143,0.968609865470852,0.9920957059541495,112,6,0.0
9029,confirmation,dwd_holdout,dwd_north_coastal,0.9236111111111112,0.95,0.9366197183098591,0.9872381932348667,140,6,0.0
9029,confirmation,dwd_holdout,dwd_south_upland,0.9776119402985075,0.8791946308724832,0.9257950530035336,0.9695039263944761,149,6,0.0
9029,confirmation,dwd_holdout,dwd_west_lowland,0.9279279279279279,0.911504424778761,0.9196428571428571,0.9848606147827843,113,6,0.0
9049,discovery,dwd_all,dwd_east_continental,0.954183266932271,0.9247104247104247,0.9392156862745098,0.9729020517380395,518,6,0.0
9049,discovery,dwd_all,dwd_north_coastal,0.9642857142857143,0.864,0.9113924050632911,0.9753570369424667,500,6,0.024793388429752067
9049,discovery,dwd_all,dwd_south_upland,0.9034090909090909,0.8833333333333333,0.8932584269662921,0.9422036442842302,540,6,0.0
9049,discovery,dwd_all,dwd_west_lowland,0.8648648648648649,0.832,0.8481141692150866,0.9320202765296948,500,6,0.040229885057471264
9049,discovery,dwd_holdout,dwd_east_continental,0.9435483870967742,0.9069767441860465,0.924901185770751,0.9797617135622873,129,6,0.0
9049,discovery,dwd_holdout,dwd_north_coastal,0.9905660377358491,0.8333333333333334,0.9051724137931034,0.9743093126314508,126,6,0.0
9049,discovery,dwd_holdout,dwd_south_upland,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8813661776166948,134,6,0.0
9049,discovery,dwd_holdout,dwd_west_lowland,0.8617886178861789,0.848,0.8548387096774194,0.9267610634016079,125,6,0.0625
9049,confirmation,dwd_all,dwd_east_continental,0.9657657657657658,0.9571428571428572,0.9614349775784753,0.9886238829991301,560,6,0.0
9049,confirmation,dwd_all,dwd_north_coastal,0.976890756302521,0.9451219512195121,0.9607438016528925,0.9843136332059615,492,6,0.0
9049,confirmation,dwd_all,dwd_south_upland,0.9371069182389937,0.8563218390804598,0.8948948948948949,0.9721864424185137,522,6,0.03389830508474576
9049,confirmation,dwd_all,dwd_west_lowland,0.9184100418410042,0.8658777120315582,0.8913705583756345,0.9639966107844172,507,6,0.06422018348623854
9049,confirmation,dwd_holdout,dwd_east_continental,0.9785714285714285,0.9716312056737588,0.9750889679715302,0.9916535765723453,141,6,0.0
9049,confirmation,dwd_holdout,dwd_north_coastal,0.9830508474576272,0.9508196721311475,0.9666666666666667,0.9831532159320705,122,6,0.0
9049,confirmation,dwd_holdout,dwd_south_upland,0.9262295081967213,0.8625954198473282,0.8932806324110671,0.961372732525007,131,6,0.0
9049,confirmation,dwd_holdout,dwd_west_lowland,0.9243697478991597,0.8396946564885496,0.88,0.9624991305638956,131,6,0.0
